Ouery_Cleaned,Answer
root weating cater pillar,drenchig  Chloropyriphos 30ml +Redomil Gold 30gm/15Lit of Water.
milibug,Spray Nuwan 15 ml/15Lit of Water.
jassids leaf hoppers,Spray rejent 15 ml/15 liter water.
virus,Spray Kasu-B 3 gm/15 Liter of WaterDhanuka
bol worm,spray chloropyriphos 30 ml + M-45 30 gm / 15 litter of water 
aphids thrips jassids, Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
white fly thrips,Spray Ullala 8 gm/15 Lit of Water.(flonicamid)-UPL
powdery mildew,Spray Bavistane 30 gm/15 Liter of Water(Carbandazin)-Basf
thriphs jassids,Spray super confidor 10 ml /15 liter water(Imida 17.8 sl)-Bayer
asking sucking pest,Spray - Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
rednning thrips,SPRAY MAGNESIUM SULPHATE 60 GM + BAVISTINE 30 GM  + DAP 200 GM/15 LITER WATER  WITH MAGNESIUM SULPHATE 10 KG/ACRE
redling,APPLY UREA 20 KG + MAGNESIUM SULPHATE 10 KG IN ACRE
fungs,bavistin.30 gm + humic acid 30 ml /15 liter water drenching
leaves,Chloropyriphos 30ml + Humic Acid 30ml/15 Lit of Water Drenching.
mar soybean,microlla 30 mili + humic acid 30 mili + radomild gold 30 gram in 15 lit of water
sucking pest catterpiller,spray of fighter 15 mili + excite 15 mili /pamp  on crop. for  of  sucking pest & catterpiller
thrips jassids cottton,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
red bug,Spray Nuwan 20ml/ 15Lit of Water.
aphids jassids,Spray Tata manik 7 gm / 15 liter of water(Acetamapride20SP)-Tata Rallis
redening white fly,Mg sulphate 60 gm + DAP 200 gm +  microlla 30 ml / 15 litar water+Spray Ullala 8 gm/15 Lit of Water(flonicamid)-UPL
informatiopn leaf curl,Spray Tata mida10 ml /15 liter water(Imida 17.8 sl)-Tata Rallis
catterpiller,Spray Chloropyriphos 30ml/15 Liter of Water.
redning aphids,SPRAY MAGNESIUM SULPHATE 60 GM + DAP 200 GM/15 LITER WATER
sucking pest thrips,Spray Actra 5 gm/15 Lit of Water.
caterpillar less flowering,SPRAY PROFEX SUPER 30 ML + MICROLA  40 ML IN 15 LIT OF WATER
grey mildew,spray antracol 30 gm / 15 litre of water
trips,Confidor super / Confidor 6 ml/15 Lit of Water.
sucking pest red leaves,Spray Confidor super / Confidor 10 ml/15 Lit of Water.
sucking pest white fly thrips,Actra 5 Gram + Karate 15 ML + m 45 gm / 15 Liter Water
red mites c,Spray omite 5ml/15 liter water.
red mite,Spray Oberon 15ml / omite 5ml/15Lit of Water.
fungus due pest, microll30ml + Microlla 30ml /15 lit. Water.
thrips cootton,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)+ 30 GRAM - M-45 -Syngenta
jassid,Spray Actra 5 gm + 30 GRAM -M-45 /15 Liter of Water(Thiomithoxom 25%)-Syngenta
thripas,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
thrips growth,Spray Actra 5 gm/15 Lit of Water.makka 60 gram + microla -30 mili / 15 liter water.
boll worm,Spray Proclaim10 gm/15 liter of Water(Emamectin Benzoate)Syngenta
thrips fertilizer dose,Spray Actra 5 gm/15 Lit of Water + microla-30 mili / 15 liter water
fruit borer,you can spray trayzophos 40 mili /15 lit of water
caterpillar wilt fertilizer dose growth,TAKUMI -8 GRAM /15 LITER WATER GINGER-Drenching Bavistine 30 gm + Humic Acid 30 ml/15 Lit of Water +  MICROLA -30 MILI /15 LITER WATER
aphids pyrilla mava,Spray - Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
thrips hopper, Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
ofsucking pest,Spray Admire 5 gm/15 Liter of Water (Imida 70 wp)-Bayer
aphids thrips white fly,Spray Pegasus 25 gm/ 15 liter of water(Diafenthiuron)Syngenta
asking sucking pest attackon,Spray- Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
thrips cpotton,Spray Confidor super / Confidor 10ml/15 Lit of Water.
caterpillar jalna,Spray Chloropyriphos 30ml/15 Lit of Water.
thirpes, SPRAY CONFIDOR / ACTRA + MICROLA  40 ML IN 15 LIT OF WATER
aske dabout thrips,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
seedling blight,Spray M-45 30 gm + Monocrotophos 15 mili /15 Lit of Water.
lalya,SPRAY REDOMIL GOLD 30 GM+19;19;19 60 GM + MICROA 30 ML + HUMIC ACID 30 ML /15 LITER WATER
flower drop,SPRAY PLANOFIX 5 ML(Bayer)/15 LITER WATER
fruit borer shoot borer,Spray Quinalphos (20 % AF) 22 ml/15 liter of water
mealybug,spray nuvan 15 ml / 15 litter of water 
bugs,Spray Nuvan 15 ml/15 Liter of Water(Dimethoate)-Cheminova
thrips yellowing,Spray Actra 5 gm/15 Lit of Water.SPRAY MICROLLA 30 ML + BAVISTIN 30 GM /15 LITER WATER.
leaf minor,spray trizophos 30 ml + M-45 30 gm / 15 litter of water 
caterpillar soybean,Spray Chloropyriphos 30ml/15 Liter of Water.
asking aphids,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
asking caterpillar,Spray - Chloropyriphos 30ml/15 Liter of Water.
mite,MITIGATE 15  MILI PAMP SPRAY
asking aphids pyrilla mava,Spray - Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
thrips farmer flowering,Spray Actra 5 gm/15 Lit of Water.Spray Boom flower 20 ml /15lit of Water.
scucking pest,SPRAY  FIFRONIL 15 ML / 15 LITTER OF WATER 
mar,spray microlla 300 mili + humic acid 1 lit + blue copper 500 gram in 200 lit of water /acre through drip
afhids jassids,Spray Karate20ml +M-45 30 GRAM + MICROLLA 30 MILLI /15 Liter of Water(Lambda 5 SC)-Syngenta
snail soyabean,USE SNAIL KILLER 
whitefly,Spray Actra 5 gm  /15 Lit of Water
rust,spray m-45(c) 30 gm in 15 liter water.
thrips whitefly,spary lancergold 25gm +pride 7gm / 15 lit of water
white,confidor 10 ml /super confidor 10 ml /15 litar water
aphids sucking pest,aphids  SUCKING PEST - Spray super confidor 10 ml /15 liter water(Imida 17.8 sl)-Bayer
white fly asking,Spray Ullala 8 gm/15 Lit of Water(flonicamid)-UPLThis week weather is Partly cloudy and Possibility of Rainfall.
leaf blight,SPRAY MICROLLA 30 ML + BAVISTIN 30 GM /15 LITER WATER.
white fly wilt,Spray Ullala 8 gm/15 Lit of Water.Drenching Bavistine 30 gm + Humic Acid 30 ml/15 Lit of Water
thrips asking,confidor 10 ml /super confidor 10 ml /15 litar water This week weather is Partly cloudy and  Possibility of Rainfall.
sucking pest caterpillar,Spray Pegasus 25 gm/ 15 lit of water SPRAY PROFEX SUPER 30 ML / 15 LITER WATER
asking thrips jassids,Spray - Actara 5 gm/ 15 liter of water(Thiamethoxam)-Syngenta
asking white fly,Spray Oberon 15 ml/15 Liter of Water(spiromesifen 20.9%)-Bayer
aphids sugarcane pyrilla,Spray Lancer Gold 30gm+m 45 30 gm/15 Lit of Water(Acephate 75% SP)UPL
aphidsasking,Spray Roger 15 ml/15 Liter of Water(Dimethoate)-Cheminova
white fly thrips jassids,"White Fly,Thrips and Jassids - Spray Ullala 8 gm/15 Lit of Water(flonicamid)-UPL"
ahrips,Spray Actra 5 gm microlla+ 30miili + bavsitiin 30 gram /15 Liter of Water(Thiomithoxom 25%)-Syngenta
leaf eating caterpillar,spray  profenophos 50 % EC  2 ml / 1 liter of water
leaf miner nag ali,Spray polytrin -c 35 ml/15 liter of water.
thrips fertilizer spray,confidor 10 ml /super confidor 10 ml /15 litar water Humic Acid 30ml/15 Lit of Water Drenching.
caterpillar thrips,Spray Actra 5 gm/15 Lit of Water.
caterpilklar,spray quinolphos 15 ml / 15 liter of water.
whhite fly,Spray Ullala 8 gm/15 Lit of Water(flonicamid)-UPL
white fly red mites,spray polo 12 gm  / 15 litter of water 
thrips aboutfertilizer dose grouth,"Spray rejent 15 ml/15 liter water, MICROLA -30 MILI /15 LITER WATER"
root root,Drenching Bavistine 30 gm + Humic Acid 30 ml/15 Lit of Water
red mites cooton,Spray Oberon 15ml + Sticker 10 ml/ 15Lit of Water.
spray caterpillar,Spray Chloropyriphos 30ml/15 Lit of Water.Spray Profex Super 30 ml / 15 lit of water
thrips fungus,Spray Ullala 8 gm/15 Lit of Water.
sucking pest cotto,Spray Confidor super / Confidor 10ml/15 Lit of Water.
sucking pest white fly aphids,spary olala 10 gm  / 15 liter of water
mealy,spray nuwan 20ml + nirma powder 30gm / 15 lit of water
sucking pest thrips white fly,Spray Ullala 8 gm/15 Lit of Water.
white fly red leaves,spray urea 200gm + magnesium sulphate 60gm+ actra 5gm/15 lit of water
afhids,Spray profenophos 30 ml + BAVISTIN 30 GRAM / 15 liter of water
abou tthrips,confidor 10 ml /super confidor 10 ml /15 litar water
fungicides,Redomil Gold 30 gm+humic Acid 30 ml(Mephonaxon+mancozeb)syngnta
aksed sucking pest,Spray Confidor super / Confidor 10ml/15 Lit of Water.
reddning thrips,SPRAY MAGNESIUM SULPHATE 60 GM /15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
leaf spot,SPRAY STREPTOCYCLIN 1 GM + BLUE COPPER 30 GM IN 15 LITER WATER
caterpillar asking,takumi-8 gram /15 liter water  This week weather is Partly cloudy and Possibility of Rainfall
white fly thrips redning,"Spray rejent 15 ml/15 liter water.SPRAY MAGNESIUM SULPHATE 30 GM + DAP 300 GM/15 LITER WATER VARIETY-KIRAN,PRAKASH,MANJARI,PARAS MAHARAJA ,DECCAN-103"
bollworm,Spray fame 5ml/15 Liter of Water(Flubendiamide 480SC)Bayer
spoteed bollworm,Spray Quinalphos (20 % AF) 22 ml/15 liter of water
wilting,microll30ml+humic acid 30ml/15 lit. Water.
viral,Spray virosol 30gm/15lit of water.
sucking pest white fly aphids thrips,spary olala 10 gm / 15 liter of water
aphids white fly,Spray Actra 5 gm + Ridomil gold 30 gm/15 liter water?
mar cooton,APPLY MICROLLA 300 MILI + HUMIC ACID 1 LITRE + BLUE COPPER 500 GRAM IN 200 LIT OF WATER /ACRE
pp white fly,Spray Actra 5 gm /15 Lit of Water
farmer want know fungal,use copper oxy chloride 40 gram and streptocyclin 2 gram at 15 liter of water
fly,Spray Nuvan 20ml/ 15Lit of Water(Diclorvos 76%)Cheminova
caterpiller,spray Quinolphos 30 ml in 15 liter water
thrips jassids white fly,Spray Ullala 8 gm/15 Lit of Water(flonicamid)-UPL
thrips jasids,Spray Regent 30 ml /15 liter water(Fipronil 5 SC)-Bayer
thriphs white fly,SPRAY TRIAZHOPHOS 30 ML + ASIFET 30 GM / 15lit of Water
mewaly bug,Spray Nuvan 20ml/ 15Lit of Water(Diclorvos 76%)Cheminova
aattack lalya,SPRAY MAGNESIUM SULPHATE 20GM + DAP 200GM / 15 LIT WATER
chiktta,apply actra 5 gram + blue copper 40 gram in 15 lit of water
whitre fly,Spray Pegasus 25 gm/ 15 lit of water
redning,SPRAY UREA 100 GRAM  + MgSO4 60 GRAM IN 15 LIT OF WATER
leaf eating cattaerpillrs,Spray Coragen 5ml + M-45 30 GRAM 30 GRAM /15 Liter of Water(Chlorantraniliprole)Dupont
catterpillar soybean,Mix Bio-Catch(Verticillium licanii) with water @ 6 ml or 8 gm / Litre
sucking pest fertilizer dose growth,Spray Actra 5 gm/15 Lit of Water + microla -30 mili / 15 liter water
gray mildew,Spray Bavistane 30 gm/15 Liter of Water(Carbandazin)-Basf
yellowing leaves growth flowers,FOR BLOOSMING Spray Boom flower 30ml(DeviCropscience)/15 liter of Water.
wild soybean, microlla 30 mili + humic acid 30 mili + radomild gold 40 gram in 15 lit of water
aphids mava,Spray Regent 30 ml /15 liter water(Fipronil 5 SC)-Bayer
karpa,Spray M-45 30 gm + regent 30 gm  /15 Lit of Water.
leaf eating cater pillar,Decis - 4 ml/15 litre water.
sucking pest jassids,Spray Actra 5 gm + M-45 30 gm/15 Lit of Water.
athrips,Pegasus 25 gm /15 lit
white fly aphids thrips,Spray Confidor super / Confidor 10ml/15 Lit of Water.
red mite cootton,Spray Omite 5ml + BAVISTIN 30 GRAM /15 Liter of Water(propynyl ester)-Nufarm
suking dpest,Spray Confidor super / Confidor 10ml/15 Lit of Water.
wilt mar drenching,Drenching Bavistine 15 gm + Humic Acid 30ml/15 Lit of Water
thrips redning,Spray Actra 5 gm/15 Lit of Water.SPRAY MAGNESIUM SULPHATE 60 GM + DAP 300 GM/15 LITER WATER
white fly thrips caterpillar,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngentabrinjal-Spray Proclaim10 gm/15 liter of Water(Emamectin Benzoate)Syngenta
blight wilt,Spray Redomil Gold 30 gm/15 Liter of Water(Mephonaxon+Mancozeb)-Syngenta
mealy bug pest, spray lancergold 20gm + admire 2gm /15 Lit of Water
askeed aphids,Spray Actra 5 gm + M-45 30 GRAM /15 Liter of Water(Thiomithoxom 25%)-Syngenta
powdery downy blight,Spray Redomil Gold 30 gm/15 Liter of Water(Mephonaxon+Mancozeb)-Syngenta
thrifs,spray tata mida 10 ml / 15 litre of water
blight oc,Spray Tilt / score / kavach 30gm c+ Chloropyriphos 40 ml +/15lit of Water.
readning,SPRAY UREA 200 GRAM  + MgSO4 100 GRAM IN 15 LIT OF WATER
sucking peat cottobn,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
fungal red leaves,spray 50 Gram Magnesium Sulphate + 30 Gram Bavistin 10 Liter Water
thrips redmite jassids, spray lmbda cylethrin 15 ml / 15 litre water.
thrip,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
cooton afpids,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
sucking,SPRAY ACTRA 5 GRAM + MICROLLA 30 MILI + BLUE COPPER 40 GRAM IN 15 LIT OF WATER
asking asking white fly,Spray Oberon 15 ml/15 Liter of Water(spiromesifen 20.9%)-Bayer
redning thrips,SPRAY MAGNESIUM SULPHATE 60 GM + DAP 300 GM/15 LITER WATER 
thrips coptton,Spray Ullala 8 gm/15 Lit of Water.(flonicamid)-UPL
asking pink bollworm,Spray Profenophos 25 ml/15 liter of water.
white fly jassids,Spray Admire 5 gm + rijent 20 ml /15 Liter of Water (Imida 70 wp)-Bayer
pink bollworm,Spray Avant 10 ml/15 Lit of Water.(Indoxacarb 15.8% EC) Dupont India
sking caterpillar,Spray Quinolphos 30 ml/15 liter of water.
ballworm,Spray Profex super 30 ml/15 liter water.
farmer boll worm,spray Triazophos 40 EC 30 ml in 15 liter of water
asking aphidsn,Spray Ullala 8 gm/15 Lit of Water.(flonicamid)-UPL
farmer sucking pest,spray bio-303 (30 ml ) in 15 liter of water.
pink boll worm,spray spinosad 5 ml / 15 litter of water 
thrips blight,Spray Actra 5 gm + M-45 30 GM /15 Liter of Water(Thiomithoxom 25%)-Syngenta
meali bug,SPRAY NUVAN 15 ML / 15 LITER OF WATER 
catterpiller attacks om,karate 15 mili /pamp  spray on crop.
ased caterpillar,Spray Karate 15 ml/15 Liter of Water(Lambda 5 SC)-Syngenta
aphids aphids,SPRAY ROGAR 20 ML /15 liter water (Dimethoate 30% EC)
wooly aphid,spry nuvan 30 ml /15 lit
aske dfor thrips,Spray profenophos 30 ml/ 15 liter of water
blight cottton,Spray Blue copper 40 gm/15 liter water.
caterpillar redning,Spray Chloropyriphos 30ml/15 Lit of WaterSPRAY MAGNESIUM SULPHATE 60 GM + DAP 300 GM/15 LITER WATER
caterpillar sucking pest,Spray Rogar 15ml+Chloropyriphos 30ml/15 Lit of Water.
farmer aphids,Spray Asiphet 30 gm/15 Liter of Water (Asifet 70 sp)-Tata Rallis
pink bollworm cottton,Spray Proclaim 07 gm/15 liter of Water(Emamectin Benzoate)Syngenta
askinh caterpillar,Spray Quinolphos 30 ml/15 liter of water.
jasids leaf hoppers,Spray Record 10 gm or Pride 10 gm / 15 lit of water
farmer pink boll worm,spray Triazophos 40 EC 30 ml in 15 liter of water .
pink bolllworm,Spray Proclaim 07 gm/15 liter of Water(Emamectin Benzoate)Syngenta
mava,spray micronutrient +actra 5 gram in 15water
farmer white fly,Spray Oberon 15 - 20 ml in 15 liter of water
sucking pest chikta,confidor 10 ml /super confidor 10 ml /15 litar water
asking red mites,Spray Oberon 15ml + Bavistine 30gm /15 Liter of Water (benzisothiazolin)Bayer
caterpillar tur,Spray Profex super 30 ml/15 liter of water(Profenofos+ Cypermethrin)-Nagarjuna
thrips caterpillar,Spray Actra 5 gm/15 Lit of Water.TAKUMI- 8 GRAM / 15 LITER WATER
leaf hopper, Spray Admire 5 gm/15 Liter of Water (Imida 70 wp)-Bayer
thrips fetiloizer dose,Spray Actra 5 gm/15 Lit of Water. MICROLA -30 MILI / 15 LITER WATER
cotroal caterpillar,spraying of curacron 30 ml / 15 liter water
fangal,Spray Actra 5 gm + redomil gold 30 gm + /15 Lit of Water.
downy blight powdery,Spray Tilt 20 ml/15 Liter of Water (Propiconyazol 25%EC)-Syngenta
fungal sucking pest,Spray Actra 5 gm +Spray M-45 30 gm/15 Lit of Water.
black fungas,spray M-45 40 gm / 15 liter of water 
catterpillers,Spray Proclaim10 gm/15 liter of Water(Emamectin Benzoate)Syngenta
chikta,spraying of actra 5 gm + m -45 25 gm / 15 liter water
farmer enquired blight, Spray M-45 30 gm/15 Lit of Water.
ed leaf,spray of 50gm magnesium sulphate +100gm urea/15 lit water
thrips chilli,Spray super confidor 10 ml /15 liter water(Imida 17.8 sl)-BayerCHILLI-Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
caterpilaer,Spray Coragen 5ml/15 Lit of Water.
wilting due fungal roots,DRENCHING OF BLUE COPPER 30 GM +MICROLLA 30 ML +HUMIC ACID 30 ML / 15 LITRES OF WATER
cut worm,drenching  Chloropyriphos 30ml/15 Liter of Water application of thimet-0.5 kg / ekar
chilli caterpillar,Spray Profex Super 30 ml / 15 lit of water.
sucking pest thrips white fly jassids leaf hoppers,Spray rejent 15 ml/15 liter water.Spray Jump 15 ml/15 liter water.
shoot boror,spray nuvan 15 ml + M-45 30 gm / 15 liter of water 
moth,Spray melathion 25  mili + nimboli ark 25 ml /15 lit of Water.
apifhids,Spray Clasic 20 10ml/15 Lit of Water.
thirps,Spray Actra 5 gm + m 45 30 gm + microlla 30 ml/15 Lit of
ahids,Spray Pegasus 25 gm + M-45-30 GRAM / 15 liter of water(Diafenthiuron)Syngenta
termite,THIAMATE 4 KG /ACRE
prevention pest,Spray Azadirictine 30 ml/15 Lit of Water.
catterpillar,Spray Quinalphos (25 % EC)15 ml/ l5 liter of water
spraying blight,Spray Redomil Gold 30gm/15Lit of Water.
woolly aphids,Spray Actra 5 gm +  bavistine 30 gm /15 Lit of Water.
blight sucking pest,spray M-45 30 gm + rogar 20 ml / 15 liter of water
nagali,Polytrin c 35 ml / 15 lit of water
downy mildew,Spray Bavistane 30 gm/15 Liter of Water(Carbandazin)-Basf
dumping,DRENCHING OF  BAVISTIN 30 GM / 15 LITER WATER
snell,use snell kill
flea beetle,Spray monocrotophos 15ml/15 Lit of Water.
root fungas,Spray Redomil Gold 30gm +  humic acid 30 ml /15Lit of Water.
meal bug,SPRAY QUANIOLPHOS 30 ML  /  PROFEX  SUPER 30 ML / SPINOSAD 30 ML  + MICROLA 40 ML IN 15 LIT OF WATER
thrips reddening,Spray Confidor super / Confidor 10ml/15 Lit of Water.SPRAY MAGNESIUAM SULPHATE 60 GRAM + DAP 100 GM / 15 LITRE OF WATER
pest crotton,fighter 16 mili + excite 15 mili  spray on crop.
jassid aphids,KARATE- 25 ML+ M-45-/ 30 GM+ MICROLLA-50 ML/ 15 LIT.WATER.
od shoot boror,spray nuvan 15 ml  + bavistin 30 gm / 15 liter of water  
fungus fungus,spray m-45 30 gm in 15 liter water.
girdle beetle,SRAY TRIZHOPHOS 3.5 ML / 1 LITRES OF WATER FOR POWER SPRAY
downy,Amistar 15 Ml / 15liter of Water
aphids jassid,Spray Karate10ml M-45 30 GM + MICROLLA 40 ML /15 Lit of Water
thrips fungicide,Spray Actra 5 gm/15 Lit of Water.
adsked whitefly,Spray Actra 5 gm/15 Lit of Water.
aphids thriphs,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
sucking pest incotton,Spray Confidor super / Confidor 10ml/15 Lit of Water.
yellowing leaves,spraying of  microla
apfids,Spray Bavistine 30gm+ Confidor super / Confidor 10ml/15 Lit of Water.
white grube,dreanching lasenta 150 gm /acre
termites,drenching of chloropyriphos 30 ml  + bavistin 15 gm / 15 liter of water
humani,Spray Chloropyriphos 30ml/15 Lit of Water.
sucking per,confidor 10 ml /super confidor 10 ml + Sticker 10 ml/15 litar water
fungicides cottan,drenching bavistin 30gm + humic acid 30ml / 15 liter of water for bean
humni,APPLY THIMATE POWDER 4 KG IN /ACRE
sucking pest oncotton,Spray Actra 5 gm + M-45 30 gm/15 Lit of Water.
white fly sucking pest,Spray Actra 5 gm /15 Lit of Water.
snails,spray snailkill 30 mili / 15 liter water
milliped root,SPRAY QUANIOLPHOS 30 ML  /  PROFEX  SUPER 30 ML / SPINOSAD 30 ML  + MICROLA 40 ML IN 15 LIT OF WATER
sucking paest,Spray Actra 5 gm  /15 Lit of Water  Spary bavistin 30gm/15 Lit of Water .
pesr,Spray Oberon 15 ml/15 Lit of Water.
fungal roots,DRAINCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER
fungiside,drench blue copper or bavistin 2 mili/ gm/ liter of water
fungi,Spray Bavistine 30gm/15lit of Water
pink boll warm,spray profex super 30 ml / 15 litar water
rat,Use of Zink Sulphate Tablet.
asking ball worm,Spray polytrine 30 ml/15 liter water.
soil borne pest,Drenching of Chloropyriphos 30ml + humic acid 30 ml /15 Lit of Water.
pod borer,Spray Proclaim 07 gm/15 liter of Water(Emamectin Benzoate)Syngenta
thripa,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
aphids onion,Spray Asataf 5 gm +ANTACOL 30 GM/15 Liter of Water (Asifet 70 sp)-Tata Rallis
asking caterpilla,Spray Quinolphos 30 ml/15 liter of water.
caterpilar,SPRAY PROCLAIM 7 GM/ 15 LITER WATER
aphids thrips jassids caterpillar,Spray Quinolphos 30 ml+ Spray super confidor 04 ml/15 liter of water.
leaf borer,Chloropyriphos 30ml + Humic Acid 30ml/15 Liter of Water Drenching.
mely bug,Spray Nuvan 20ml/ 15Lit of Water(Diclorvos 76%)Cheminova
fungus aphids,SPRAY ULLALA 8 GM + ANTRACOL 30 GM / 15 LITRE OF WATER
mealy bug cottton,Spray Karate15 ml/15 Liter of Water(Lambda 5 SC)-Syngenta
fungicides wilt,drenching redomil gold 30gm + humic acid 30ml + chloropyriphos 30ml/ 15 liter of water
pink bolworm,spray spinosad 5 ml / 15 litter of water 
pyrilla mava,Spray Admire 5 gm/15 Liter of Water (Imida 70 wp)-Bayer
white fly redning,Spray Ullala 8 gm/15 Lit of Water.SPRAY MAGNESIUM SULPHATE 60 GM + DAP 300 GM/15 LITER WATER
ball worm,Spray Karate 12 ml/15 Liter of Water(Lambda 5 SC)-Syngenta
caterpillar bool,Spray fame 5ml/15 Liter of Water(Flubendiamide 480SC)Bayer
caterpillar aphids pigeon pea,spray proclaim - 7 gram +super confidor - 10 ml / 15 litre water .
reddening leaves,Spray D.A.P. - 300 gm + magnesium sulphate - 30 gm / 15 liter water
grey mildewe,SPRAY RIDOMIL GOLD 30 GM / 15 LITERS OF WATER
wilt drenching,Drenching Blue Copper 30 gm +humic acid 30 ml(Copper Oxichloride)-syngenta
blih,Spray Redomil Gold 45 gm/15 Liter of Water(Mephonaxon+Mancozeb)-Syngenta
wilt mar,Drenching of Blue Copper 30 gm +humic acid 30 ml(Copper Oxichloride)-syngenta
caterpillarattack white fly,Spray Profenophos 25 ml/15 liter of water.Spray Ullala 8 gm/15 Lit of Water(flonicamid)-UPL
leaf spot sucking pest,SPRAY ACTRA - 5 GRM  +   REDOMIL GOLD 30 GM /15 LIET WATER.
blight pigeon pea,Spray Tilt 07 ml/15 Liter of Water(Propiconyazol 25%EC)-Syngenta
mealibug,spray nuvan 15ml / 15 liter of water OR verticilium lacani 40ml / 15 liter of water 
sucing pest,Spray Ullala 8 gm/15 Lit of Water.
