Ouery_Cleaned,Answer
mealy bug informaiton,Suggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]
termite nematod white grub,Suggested: Chlorpyrifos 20 EC 30 ml/pump drenching or 250 ml/vigha water treatment
drying,I suggested to give coc 2.5 kg/ha
larva problem,suggest:novaluron 15 ml per pump and to sprey
red leaf,suggest:megnesium sulphet 100 gm/pump sprey
termite,suggest:chloropyriphose 25 ml/pump
larva,spray imidaclopride 5 ml / 10 lit water
mite,suggested: Dicofol 18.5 EC 25 ml/pump spray
mite redmite ant,Suggested: Dicofol 18.5 EC 25 ml/pump spray
termite nematode white grub,Suggested: Phorate 10 G 2 kg/vigha
angular,suggest:streptocyclin 6 gm+blue coper 50 gm/100 lit water
sucking insect,suggest: imidachloropride 5 ml/pumpsuggest: monocrotophose 25 ml+aecifet 15 gm/pump
mealybug,I SUGGESTED TO SPREY QUINALPHOS 30 ML/PUMP
dusting pests insects,Suggested: Methyl Parathion 2% dusting 5 kg/vigha
mealy bug larvae,Suggested: Profenofos 50% EC 25 ml/pump spraySuggested: Coragen 18.5 SC 5ml/pump spray [ final solution ]
thirps,Suggested: Profenofos 50% EC 25 ml/pump spray
angular leaf spot,6 gram sreptocyclin n 60 gram blue copper in 100litar water
mealyybug,I suggested to sprey prophenophos 30 ml/pump
milibug,I suggest fipronil 25 ml /pump
termite mealy bug,suggest:fipronil 25 ml/pump spreysuggest:sprey tryzophose 25 ml/pump
pinkboll worm,contact main cotton research station-0261 668045
sucking pests problem mealy bug,Suggested: ImiSuggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ] dacloprid 17.8% s.l. 5 ml/pump  spray
white fly informationsuggested acetamiprid sp pride ekka gram pump spray,Suggested: Acetamiprid 20 SP (Pride/Ekka) 5 gram/pump spray
red leaf problem cottonask larvae,Suggested: Magnesium sulphate 100 gm/pump spraySuggested: DDVP 5 ml + Cypermethrin 15 ml / pump spray
larval,Suggested: DDVP 5 ml + Quinalphos 25 ml /pump spray
sucking pests problem white fly,Suggested: Monocrotophos 36% sc/ec/sl 20ml/pump spraySuggested: Acetamiprid 20 SP (Pride/Ekka) 5 gram/pump spray
white fly larvae,Suggested: Acetamiprid 20 SP (Pride/Ekka) 5 gram/pump spraySuggested: DDVP 5 ml + Cypermethrin 15 ml / pump spray
black leaf,I suggested to spray carbandazim 25 gm/pump
flower dro,I suggested to sprey boom flower 30 ml/pump
heloithis,i suggested to sprey prophenophos 30 ml/pump
pink boll worm,I suggested to sprey quinalphos 30 ml/pump
yellowing leaf,I suggested to give urea fertilizer
leaf spot,I suggested to sprey carbandazim 25 gm/pump
sucing pest,I SUGESTED TO SPREY DIEMITHOAT 15 ML/PUMP
leaf curl,i suggested to sprey diemithoat 15 ml/pump
fopr caterpillar,I suggested to sprey quinalphos 30 ml/pump
pinkbolworm,I suggested to sprey quinalphos 30 ml/pump
pinl boll worm,I suggested to sprey  quinalphos 30 ml/pump
sucking pest white fly,suggest:imidachloropride 5 ml/pumpsuggest:prophenophose 25 ml/pump sprey
khapedi,i suggested to give  mithayal parathion powder
ctton drying,I SUGGESTED TO SPREY CARBANDAZIM 25 GM/PUMP
reaction,i suggested to sprey urea 100 gm/pump
syucking pest,I suggested to sprey diemithoat 15 ml/pump
leaf reaction,I suggested to sprey urea 100 gm/pump
whitefly,I suggested to sprey trizophos 1 -5 ml/pump
white fly informaiton,Suggested: Thiamethoxam 25% WG / 70% WS (Actara) 6 gram/pump spray
termite nematod white grub informationsuggested chlorpyrifos ec ml pump drenching ml vigha water treatment ec,Suggested: Chlorpyrifos 50% + Cypermethrin 5% (Mix availabe in market) 250 ml/vigha water treatment
leaf effect,I suggested to spey urea 100 gm/pump
melabug,i suggested to sperey prophenophos 30 ml/pump
open field weed,I suggested to use round up weedicide in open field.
mealy bug informaitonsuggested,Triazophos 40 EC 30 ml/pump spray [ suitable for young
larvae white fly,Suggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ] Suggested: Cypermethrin 10EC 15 ml/pump spray
white fly sucking pests problem,Suggested: Acetamiprid 20 SP (Pride/Ekka) 5 gram/pump spraySuggested: Imidacloprid 17.8% s.l. 5 ml/pump  spray
larvae ec,Suggested: Cypermethrin 25EC 10 ml/pump spray
sucking pest informaiton,Suggested: Profenofos 50% EC 25 ml/pump spray
termite white grub,Suggested: Chlorpyrifos 20 EC 30 ml/pump drenching or 250 ml/vigha water treatment
mealy bug informait,onSuggested: Triazophos 40 EC 40 ml/pump spray [ suitable for young crop ]
white fly white fly,Suggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ] Suggested: Acetamiprid 20 SP (Pride/Ekka) 5 gram/pump spray
larvae informationsuggested ddvp ml cypermethrin ml pump spray,Suggested: DDVP 5 ml + Cypermethrin 15 ml / pump spray ???????? 5 ???? + ???????????? 15 ???? / ??? ?????? ????? ?????? ????
mealy bug informaitonin crops,Suggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]
sucking pest fungus,Suggested: Monocrotophos 36% sc/ec/sl 25ml/pump spraySuggested: Mancozeb (M-45) 75% W.P. 35 gram/pump spray
fungus problem cropask sucking pest,suggest:mancozeb 75%w.p. 35 gm/pumpSuggested: Profenofos 50% EC 25 ml/pump spray
aphid,Suggested: Imidacloprid 17.8% s.l. 5 ml/pump  spray
larvae sucking pests problem,Suggested: Quinalphos 25 EC 25 ml/pump spraySuggested: Imidacloprid 17.8% s.l. 5 ml/pump  spray
white fly flower drop problemsuggested boom flower nitrobenzene ml pump spray,Suggested: Profenofos 50% EC 25 ml/pump sprayAsk about Flower Drop problemSuggested: Boom Flower (Nitrobenzene) 15 ml/pump spray
mite redmite ant fungus problem root,Suggested: Dicofol 18.5 EC 25 ml/pump spraySuggested: CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
red leaf problem cottonask white fly,Suggested: Magnesium sulphate 100 gm/pump spraySuggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]
drop problemask larvae,Suggested: 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spraySuggested: Quinalphos 25 EC 30 ml/pump spray
white fly mite redmite ant,Suggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ] Suggested: Dicofol 18.5 EC 25 ml/pump spray
heliothese pink ball warm cottonask mealy bug informaiton,Suggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stageAsk about Mealy Bug control informaiton
larvae sucking pests,Suggested: profenofos 40% + cypermethrin 4% (mix available in market) 15 ml/pump spray
larvae cropes,Suggested: Cypermethrin 10EC 15 ml/pump spray
flower dropin crops larvae,Suggested: Boom Flower (Nitrobenzene) 15 ml/pump spraySuggested: Coragen 18.5 SC 5ml/pump spray [ final solution ]
mealy bug crops increase flowering tomato,Suggested: Profenofos 50% EC 25 ml/pump sSuggested:Ask for increase the flower initiation in crop Suggested: Boom Flower (Nitrobenzene) 15 ml/pump spraypray
larvae informationsuggested cypermethrin ec ml pump spray ec,Suggested: Cypermethrin 10EC 15 ml/pump spray
sucking pest fungus problem,ASK ABOUT SUCKING PEST CONTROLsuggest:mancozeb 75%w.p. 35 gm/pump
weed white fly,Suggested: Pendimethalin 38.7 CS (Stomp) 35ml/pump spray Suggested: Profenofos 50% EC 25 ml/pump spray
red leaf problem cottonask mealy bug informaiton,Suggested: Magnesium sulphate 100 gm/pump spraySuggested: Profenofos 50% EC 25 ml/pump spray
white fly informa,Suggested: Profenofos 50% EC 25 ml/pump spray
sucking larva,I suggested to spray cypermentrin + tryzophos 20-25 ml/pump
red mite problem,ETHION 15 ML /PUMP SPRAY
mealy bug drop problem,Suggested: Profenofos 50% EC 25 ml/pump spraySuggested: 5 ml NAA (Planofix) + 150 gm 13-00-45 ferti. / pump spray
mealy bug informationsuggested,Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]
vask sucking pest,suggest:dia methote 10 ml/ 10 lit. water
white fiy,SUGGEST:TO TRIZOPHOS 25 ML /PUMP SPRAY
abouut black boll,SUGGEST: TO PLANOFAX 5 ML/PUMP
yellowing fertilizer doseask white fly sucking pests problem,Suggested: Urea 100 gram/pump spraySuggested: Acetamiprid 20 SP (Pride/Ekka) 5 gram/pump spraySuggested: Fipronil 5 SC 25ml/pump spray [Final Control]
red leaf problem cottonask mealy bug,Suggested: Magnesium sulphate 100 gm/pump spraySuggested: Profenofos 50% EC 25 ml/pump spray
heliothese pink ball warm cottonask termite nematod white grub,Suggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + Quinalphos 25 ml /pump at flowering stageSuggested: Chlorpyrifos 20 EC 30 ml/pump drenching or 250 ml/vigha water treatment
flower drop problemask larvae,Suggested: Boom Flower (Nitrobenzene) 15 ml/pump spraySuggested: Quinalphos 25 EC 30 ml/pump spray
jassid,suggested : flonicamide 4 gm /pump
heliothese pink ball warm cottonask white fly,DELTAMETHRIN + TRIZOPHOS 25 ML/ PUMP SPRAYSuggested: Spinosad 45 SC (Tracer) 5ml/pump spray [Thrips]
thirps informaiton,Suggested: Fipronil 5 SC 25ml/pump spray [Final Control]
sucking pest suggested fipronil sc ml pump spray final sc sucking pest,Suggested: Fipronil 5 SC 25ml/pump spray [Final Control]
larva inn crops,suggeasted:DDVP 5 ML+deltamethrin+trayzophose 25 ML
mite redmite ant sucking pests problem,Suggested: Ethion 50% EC 15 ml/pump spraySuggested: Imidacloprid 17.8% s.l. 5 ml/pump  spray
flower dropask mealy bug informaiton,Suggested: Boom Flower (Nitrobenzene) 15 ml/pump spraySuggested: Profenofos 50% EC 25 ml/pump spray
flower drop problemask white fly,Suggested: Boom Flower (Nitrobenzene) 15 ml/pump spraySuggested: Profenofos 50% EC 25 ml/pump spray
fungus problem cropask larvae,Suggested: Mancozeb (M-45) 75% W.P. 35 gram/pump spray Suggested: Quinalphos 25 EC 30 ml/pump spray
red leaf problem cottonask larvae flower drop problem,Suggested: Magnesium sulphate 100 gm/pump spraySuggested: Quinalphos 25 EC 30 ml/pump spraySuggested: Boom Flower (Nitrobenzene) 15 ml/pump spray
catterpiller,broadcast forate @ 5- 8kg per acre.
cater piler,Broadcasting of Carberil @5 Kg+10 Kg sand/acre.
white fly aphid mosaic,"how to control leaf curl/white fly/aphid,mosaic in cotton crop ?spray confidor @ 100 ml in 150 litre of water/acre."
termit,apply to chlorpyriphos @ 2 litre mixed in 25 kg dry send/acre.
white fly aphids,Information regarding how to control white fly and aphids in cotton?Spray 300 ml. rogor + 1 lt. nimbecidine in 200 lt. of water per acre.
sundi cottan,How to control sundi in cottan?Spray-400 ml melathion 200 litar water par acre.
leaf curl white fly aphid mosaic,spray confidor @ 100 ml in 150 litre of water/acre.
thrips crops,spray 1 liter choloropayriphos in 200 lit in water / acre
insect,broadcasting 10 - 12 kg furradon per acre.
white fly thrips,"Information regarding how to control white fly/thrips in cotton crop ?control are:-spray-daimethoeat(rogor)30ec @250-300ml or oxideemeton(metasistox)25ec @400ml  or eemidakloroprid(konfidor)@100 ml or thyaameethoxaam(ektara)@50gram@500gm quenalphos in 120-150 leetr water per acer,"
stem catterpiller grubs,control of stem catterpiller grubs in cotton crop ?broadcast fenwelrate @ 6 kg - 8 kg mixed in 20 kg dry send/acre./acre.
sucking pests,"Information regarding how to control sucking pests in cotton?spray 100 ml confidor ,200  liter water / acre ."
thirips,how to control thirips in cotton crop ?spray of Quinalphos @ 600 ml in 200 liter water/acer .
leaf sundu,how to control leaf sundu in cotton crop ?spray of carveril @ 600 gm/200 liter water/acer .
leaf carl crops,how to control leaf carl in cotton crops?spray :-200ml-350ml rogor  in 150-200 lit water /acre.
white fly thrips sundi,spray tryzophos @ 500-600 ml in 200 litre of water/acre
regardingh fangle,control are:-spray-stereptocyclien@6-8 gram+coc coper oxi cloried)@600-800 gram in 150-200 leetr water per acer.
stem catterpiller,broadcast to fenwelrate @ 6 kg - 8 kg mixed in 25 kg dry send/acre.
leaf curl crops,spray :-200 ml-350 ml rogor in 150-200 lit water /acre.
white fly trips,Spray-Oberon@ 200 ml+50 gram actara+500 ml nimisidin in 200 liter water per acre.
leaf sundi,how to control leaf sundi in cotton crop ?spray of carveril @ 600 gm/200 liter water/acer .
sundi crops,spray : 400 ml carboril  in 200 lit water /acre.
leaf curl mosaic,spray rogor @ 300 ml in 200 litre of water/acre.
fungal diseases,How to control Fungal diseases cotton crop?Spray- 8 gram staptocyclin and 800 gram coc 200 litar water par acre.
regardingh fungal,Information regardingh how to control fungal disease in cotton ?control are:-spray-stereptocyclien@6-8 gram+coc coper oxi cloried)@600-800 gram in 150-200 leetr water per acer.
dimik,broadcasting 10 - 12 kg furaadan per acre.
fungal disaese,spray of m-45@ 2gm/litre of water.
fangle,pray 400 gm C.O C.in 200 lit water / acre.
hairly keterpilar sundi crops,information regarding how to control hairly keterpilar(sundi)in cotton crops?spray500 ml trijophos or 100ml cypermetherin or 800 ml monocrotophos in 200 lit in water / acre
white fly thrips leaf curl,Information regarding how to control white fly/thrips/leaf curl in cotton?Spray tryjophos @ 500-600 ml in 200 litre  of water per acre.
white fly sundi,Information regarding how to control white fly /sundi in cotton-spray 80 ml alika 150  liter water per acre .
fungus,control of fungus in cotton?spray  Copper oxychloride @ 600 gm + 8 gm streptocycline in 200 liter water per acre.
ho becterial blight willt root rot,Information regarding ho to control becterial blight/willt/root rot in cotton crop ?Spray coc @ 600- 800 gm + streptocycline @ 6-8 gm in 200 litre of water/acre.
funjal,SPRAY OF CARVENDAJIM (BABASTIN)500 GM IN 200 LITER WATER/ACRE .
hairy caterpillar cotten,Spray 500 ml. Quinalphos in 200 lt. of water per acre.
fengel dieses,spray 400 gm coperoxicloride in 200 lt. water/acre.
leaf worm,"SPRAY OF CYPERMETHRIN 50ML,100LIT. OF WATER PER ACRE."
mealy bug e water acre,information regarding control of mealy bug in cotton ?spray 4ml quinalphos 25EC or 3ml prophenophos 50EC in per litre of water /acre .
sundi,How to control sundi in cotton ?Spray-60 sayparmethiren 150 liter water par acre.
cattepiler,information regarding how to control cattepiler in cotton crop ?spray500 ml trijophos or 100ml cypermetherin or 800 ml monocrotophos in 200 lit in water / acre
laldi pest vegetables,how to control laldi pest in vegetables?spray 60 ml. cypermethrin in 100 lt. of water per acre.
insect afids crops,spray 300 ml melathion in 150 litre water/acre.
weeds,weeds control in cotton crop ?broadcast :-600ml gramaxon or 200 gm duron in 200 liter water .
wheat fly crops,spray 350 ml Rogor + 1 litre Nimicedien in 200 litre water/acre.
funjal paddy,HOW TO CONTROL FUNJAL DISEASE IN PADDY ? SPRAY OF CARVENDAJIM (BABASTIN)500 GM IN 200 LITER WATER/ACRE .
safed phanka,"rogar 600ml+800 ml nimisidin,200lit. of water per acre."
white fly crops,Information regarding how to control white fly in cotton crops?spray of rogor 350 ml + 1 liter nimbicidin in 200 liter water /acre .
flowers dropping,Spray 2 kg. Potassium Nitrate in 200 lt. of water per acre.
leaf cutter castor,"spray of cypermethrin 50ml,100lit. of water per acre."
white fly insect,"spray 200 ml oberon,500 ml nimiceydene ,100 gm pride in 200 litre water/acre."
aphids white fly,"spray 1 liter nimbisideen ,350 ml rogor ,200 liter water per acre ."
safedphanka,"spray of rogar 600 ml,200 lit. of wtaer per acre."
bandar punja,spray urea @ 2.5 kg + zinc @ 500 gm in 150 lit5re of water/acre.
nformation regardingh fangle,control are:-spray-stereptocyclien@6-8 gram+coc coper oxi cloried)@600-800 gram in 150-200 leetr water per acer.
thrips jassids,spray of alica 80 ml in 120 litre of water/acre.
flower fruit dropping,spray of planofix @ oriofizin 1 ml/ 4.5 liter water .
whitefly aphids,Spray 300 ml. rogor + 1 lt. nimbecidine or 200 ml obron+50 gram ektara+500 gram nimisidin in 200 lt. of water per acre.
white yellow leaf,answer:-spray 2 -3 gm megneese  salphate  in 1 lit  water .
flower droping,spray of planofix @ 50 ml in 200 liter water /acre .
thrips crops spray daimethoeat rogor ec ml oxideemeton metasistox ec ml eemidakloroprid konfidor ml thyaameethoxaam ektara gram leetr water per acer cdfc,"how to control thrips in cotton crops?controhow to control thrips in cotton crops?control are:-spray-daimethoeat(rogor)30ec @250-300ml or oxideemeton(metasistox)25ec @400ml  or eemidakloroprid(konfidor)@100 ml or thyaameethoxaam(ektara)@50gram in 120-150 leetr water per acer,cdfcl are:-spray-daimethoeat(rogor)30ec @250-300ml or oxideemeton(metasistox)25ec @400ml  or eemidakloroprid(konfidor)@100 ml or thyaameethoxaam(ektara)@50gram in 120-150 leetr water per acer,cdfc"
hairly catterpillar sundi crops,spray500 ml trijophos or 100ml cypermetherin or 800 ml monocrotophos in 200 lit in water / acre
ho root rot becterial blight,"SPRAY OF C.O.C @ 800 GM ,STREPTOCYCLINE @ 8 GM IN 200 LITRE OF WATER/ACRE."
aphid thrips,information regarding control of aphid and thrips in cotton? spray obron @ 200 ml + nimbicidine @ 300 ml + pride @ 100 gm in 200 liter water per acre.
leaf curl fungal,Information regarding how to control leaf curl/fungal disease in cotton crop ?spray coc @ 600-800 gm + streptocycline @ 6 gm in 200 litre of water/acre.
