SampleNo,SampleCollectionDate,LandArea,Irrigation,Longitude,Latitude,pH,EC,Organic Carbon (OC),Available Nitrogen (N),Available Phosphorus (P),Available Potassium (K),Available Sulphur (S),Available Zinc (Zn),Available Boron (B),Available Iron (Fe),Available Manganese (Mn),Available Copper (Cu)
PB/2017-18/95349753/1,08-11-2017,2.00  Acre,Irrigated(Tube well),31.852946,74.630333,7.52 : Moderately alkaline,0.24 dS/m: ,0.44 %: Low,-- kg/ha: ,62.59 kg/ha: High,448.00 kg/ha: High,41.25 ppm: Sufficient,2.34 ppm: Sufficient,-- ppm: ,22.04 ppm: Sufficient,4.04 ppm: Sufficient,3.09 ppm: Sufficient
PB/2017-18/95349793/2,08-11-2017,3.00  Acre,Irrigated(Tube well),31.850423,74.630354,7.96 : Moderately alkaline,0.22 dS/m: ,0.46 %: Low,-- kg/ha: ,24.39 kg/ha: Medium,683.87 kg/ha: Very High,24.16 ppm: Sufficient,0.33 ppm: Deficient,-- ppm: ,11.18 ppm: Sufficient,1.46 ppm: Deficient,1.70 ppm: Sufficient
PB/2017-18/95349793/1,08-11-2017,3.00  Acre,Irrigated(Tube well),31.850423,74.630354,7.96 : Moderately alkaline,0.22 dS/m: ,0.46 %: Low,-- kg/ha: ,24.39 kg/ha: Medium,683.87 kg/ha: Very High,24.16 ppm: Sufficient,0.33 ppm: Deficient,-- ppm: ,11.18 ppm: Sufficient,1.46 ppm: Deficient,1.70 ppm: Sufficient
PB/2017-18/95351560/2,08-11-2017,2.00  Acre,Irrigated(Tube well),31.849165,74.632696,7.87 : Moderately alkaline,0.32 dS/m: ,0.40 %: Low,-- kg/ha: ,11.38 kg/ha: Very Low,164.12 kg/ha: Medium,17.01 ppm: Sufficient,0.24 ppm: Deficient,-- ppm: ,11.07 ppm: Sufficient,1.45 ppm: Deficient,2.06 ppm: Sufficient
PB/2017-18/95351560/1,08-11-2017,2.00  Acre,Irrigated(Tube well),31.849165,74.632696,7.87 : Moderately alkaline,0.32 dS/m: ,0.40 %: Low,-- kg/ha: ,11.38 kg/ha: Very Low,164.12 kg/ha: Medium,17.01 ppm: Sufficient,0.24 ppm: Deficient,-- ppm: ,11.07 ppm: Sufficient,1.45 ppm: Deficient,2.06 ppm: Sufficient
PB/2017-18/95351609/2,08-11-2017,2.00  Acre,Irrigated(Tube well),31.850672,74.632665,8.53 : ,0.18 dS/m: ,0.35 %: Low,-- kg/ha: ,17.00 kg/ha: Low,274.85 kg/ha: Medium,22.03 ppm: Sufficient,1.17 ppm: Sufficient,-- ppm: ,13.18 ppm: Sufficient,2.18 ppm: Sufficient,2.32 ppm: Sufficient
PB/2017-18/95351609/1,08-11-2017,2.00  Acre,Irrigated(Tube well),31.850672,74.632665,8.53 : ,0.18 dS/m: ,0.35 %: Low,-- kg/ha: ,17.00 kg/ha: Low,274.85 kg/ha: Medium,22.03 ppm: Sufficient,1.17 ppm: Sufficient,-- ppm: ,13.18 ppm: Sufficient,2.18 ppm: Sufficient,2.32 ppm: Sufficient
PB/2017-18/95351651/2,08-11-2017,3.00  Acre,Irrigated(Tube well),31.852770,74.632300,8.56 : ,0.13 dS/m: ,0.41 %: Low,-- kg/ha: ,20.20 kg/ha: Low,156.73 kg/ha: Medium,20.64 ppm: Sufficient,0.52 ppm: Deficient,-- ppm: ,11.78 ppm: Sufficient,1.10 ppm: Deficient,2.04 ppm: Sufficient
PB/2017-18/95351651/1,08-11-2017,3.00  Acre,Irrigated(Tube well),31.852770,74.632300,8.56 : ,0.13 dS/m: ,0.41 %: Low,-- kg/ha: ,20.20 kg/ha: Low,156.73 kg/ha: Medium,20.64 ppm: Sufficient,0.52 ppm: Deficient,-- ppm: ,11.78 ppm: Sufficient,1.10 ppm: Deficient,2.04 ppm: Sufficient
PB/2017-18/95351691/2,08-11-2017,2.00  Acre,Irrigated(Tube well),31.854799,74.632649,7.96 : Moderately alkaline,0.24 dS/m: ,0.46 %: Low,-- kg/ha: ,20.72 kg/ha: Low,256.70 kg/ha: Medium,20.54 ppm: Sufficient,0.39 ppm: Deficient,-- ppm: ,7.63 ppm: Sufficient,0.59 ppm: Deficient,1.98 ppm: Sufficient
PB/2017-18/95351691/1,08-11-2017,2.00  Acre,Irrigated(Tube well),31.854799,74.632649,7.96 : Moderately alkaline,0.24 dS/m: ,0.46 %: Low,-- kg/ha: ,20.72 kg/ha: Low,256.70 kg/ha: Medium,20.54 ppm: Sufficient,0.39 ppm: Deficient,-- ppm: ,7.63 ppm: Sufficient,0.59 ppm: Deficient,1.98 ppm: Sufficient
PB/2017-18/95351728/2,08-11-2017,2.00  Acre,Irrigated(Tube well),31.856467,74.633175,7.78 : Moderately alkaline,0.25 dS/m: ,0.47 %: Low,-- kg/ha: ,14.57 kg/ha: Low,108.73 kg/ha: Low,17.07 ppm: Sufficient,0.59 ppm: Deficient,-- ppm: ,8.25 ppm: Sufficient,1.22 ppm: Deficient,1.18 ppm: Sufficient
PB/2017-18/95351728/1,08-11-2017,2.00  Acre,Irrigated(Tube well),31.856467,74.633175,7.78 : Moderately alkaline,0.25 dS/m: ,0.47 %: Low,-- kg/ha: ,14.57 kg/ha: Low,108.73 kg/ha: Low,17.07 ppm: Sufficient,0.59 ppm: Deficient,-- ppm: ,8.25 ppm: Sufficient,1.22 ppm: Deficient,1.18 ppm: Sufficient
PB/2017-18/95351756/2,08-11-2017,2.00  Acre,Irrigated(Tube well),31.858950,74.633420,8.12 : Moderately alkaline,0.30 dS/m: ,0.45 %: Low,-- kg/ha: ,13.79 kg/ha: Low,81.65 kg/ha: Low,12.32 ppm: Sufficient,0.24 ppm: Deficient,-- ppm: ,6.37 ppm: Sufficient,0.85 ppm: Deficient,0.84 ppm: Sufficient
PB/2017-18/95351756/3,08-11-2017,2.00  Acre,Irrigated(Tube well),31.858950,74.633420,8.12 : Moderately alkaline,0.30 dS/m: ,0.45 %: Low,-- kg/ha: ,13.79 kg/ha: Low,81.65 kg/ha: Low,12.32 ppm: Sufficient,0.24 ppm: Deficient,-- ppm: ,6.37 ppm: Sufficient,0.85 ppm: Deficient,0.84 ppm: Sufficient
PB/2017-18/95351756/1,08-11-2017,2.00  Acre,Irrigated,31.858950,74.633420,8.12 : Moderately alkaline,0.30 dS/m: ,0.45 %: Low,-- kg/ha: ,13.79 kg/ha: Low,81.65 kg/ha: Low,12.32 ppm: Sufficient,0.24 ppm: Deficient,-- ppm: ,6.37 ppm: Sufficient,0.85 ppm: Deficient,0.84 ppm: Sufficient
PB/2017-18/95351803/2,08-11-2017,3.00  Acre,Irrigated(Tube well),31.860996,74.633025,8.47 : Moderately alkaline,0.17 dS/m: ,0.41 %: Low,-- kg/ha: ,22.26 kg/ha: Low,168.27 kg/ha: Medium,14.63 ppm: Sufficient,0.97 ppm: Sufficient,-- ppm: ,9.75 ppm: Sufficient,5.06 ppm: Sufficient,2.36 ppm: Sufficient
PB/2017-18/95351803/1,08-11-2017,3.00  Acre,Irrigated(Tube well),31.860996,74.633025,8.47 : Moderately alkaline,0.17 dS/m: ,0.41 %: Low,-- kg/ha: ,22.26 kg/ha: Low,168.27 kg/ha: Medium,14.63 ppm: Sufficient,0.97 ppm: Sufficient,-- ppm: ,9.75 ppm: Sufficient,5.06 ppm: Sufficient,2.36 ppm: Sufficient
PB/2017-18/95351851/2,08-11-2017,3.00  Acre,Irrigated(Tube well),31.860996,74.633022,8.52 : ,0.15 dS/m: ,0.44 %: Low,-- kg/ha: ,17.30 kg/ha: Low,243.26 kg/ha: Medium,27.92 ppm: Sufficient,1.29 ppm: Sufficient,-- ppm: ,10.00 ppm: Sufficient,1.42 ppm: Deficient,2.18 ppm: Sufficient
PB/2017-18/95351851/1,08-11-2017,3.00  Acre,Irrigated(Tube well),31.860996,74.633022,8.52 : ,0.15 dS/m: ,0.44 %: Low,-- kg/ha: ,17.30 kg/ha: Low,243.26 kg/ha: Medium,27.92 ppm: Sufficient,1.29 ppm: Sufficient,-- ppm: ,10.00 ppm: Sufficient,1.42 ppm: Deficient,2.18 ppm: Sufficient
PB/2017-18/95351905/2,08-11-2017,3.00  Acre,Irrigated(Tube well),31.862843,74.632952,7.74 : Moderately alkaline,0.27 dS/m: ,0.37 %: Low,-- kg/ha: ,27.48 kg/ha: Medium,255.81 kg/ha: Medium,25.99 ppm: Sufficient,1.16 ppm: Sufficient,-- ppm: ,16.81 ppm: Sufficient,2.24 ppm: Sufficient,2.13 ppm: Sufficient
PB/2017-18/95351905/1,08-11-2017,3.00  Acre,Irrigated(Tube well),31.862843,74.632952,7.74 : Moderately alkaline,0.27 dS/m: ,0.37 %: Low,-- kg/ha: ,27.48 kg/ha: Medium,255.81 kg/ha: Medium,25.99 ppm: Sufficient,1.16 ppm: Sufficient,-- ppm: ,16.81 ppm: Sufficient,2.24 ppm: Sufficient,2.13 ppm: Sufficient
PB/2017-18/95351945/2,08-11-2017,2.00  Acre,Irrigated(Tube well),31.862858,74.635152,8.63 : Strongly Alkaline,0.22 dS/m: ,0.48 %: Low,-- kg/ha: ,23.92 kg/ha: Medium,654.75 kg/ha: High,24.30 ppm: Sufficient,0.31 ppm: Deficient,-- ppm: ,11.02 ppm: Sufficient,1.41 ppm: Deficient,1.62 ppm: Sufficient
PB/2017-18/95351945/1,08-11-2017,2.00  Acre,Irrigated(Tube well),31.862858,74.635152,8.63 : Strongly Alkaline,0.22 dS/m: ,0.48 %: Low,-- kg/ha: ,23.92 kg/ha: Medium,654.75 kg/ha: High,24.30 ppm: Sufficient,0.31 ppm: Deficient,-- ppm: ,11.02 ppm: Sufficient,1.41 ppm: Deficient,1.62 ppm: Sufficient
PB/2017-18/95352039/2,08-11-2017,2.00  Acre,Irrigated(Tube well),31.858862,74.635001,8.52 : ,0.26 dS/m: ,0.42 %: Low,-- kg/ha: ,20.94 kg/ha: Low,103.24 kg/ha: Low,10.82 ppm: Sufficient,0.45 ppm: Deficient,-- ppm: ,4.92 ppm: Sufficient,1.57 ppm: Deficient,1.34 ppm: Sufficient
PB/2017-18/95352039/3,08-11-2017,2.00  Acre,Irrigated(Tube well),31.858862,74.635001,8.52 : ,0.26 dS/m: ,0.42 %: Low,-- kg/ha: ,20.94 kg/ha: Low,103.24 kg/ha: Low,10.82 ppm: Sufficient,0.45 ppm: Deficient,-- ppm: ,4.92 ppm: Sufficient,1.57 ppm: Deficient,1.34 ppm: Sufficient
PB/2017-18/95352039/1,08-11-2017,2.00  Acre,Irrigated(Tube well),31.858862,74.635001,8.52 : ,0.26 dS/m: ,0.42 %: Low,-- kg/ha: ,20.94 kg/ha: Low,103.24 kg/ha: Low,10.82 ppm: Sufficient,0.45 ppm: Deficient,-- ppm: ,4.92 ppm: Sufficient,1.57 ppm: Deficient,1.34 ppm: Sufficient
PB/2017-18/95352095/2,08-11-2017,2.00  Acre,Irrigated(Tube well),31.856183,74.634673,8.41 : Moderately alkaline,0.22 dS/m: ,0.46 %: Low,-- kg/ha: ,24.17 kg/ha: Medium,322.34 kg/ha: Medium,19.64 ppm: Sufficient,2.42 ppm: Sufficient,-- ppm: ,33.32 ppm: Sufficient,1.11 ppm: Deficient,2.88 ppm: Sufficient
PB/2017-18/95352095/1,08-11-2017,2.00  Acre,Irrigated(Tube well),31.856183,74.634673,8.41 : Moderately alkaline,0.22 dS/m: ,0.46 %: Low,-- kg/ha: ,24.17 kg/ha: Medium,322.34 kg/ha: Medium,19.64 ppm: Sufficient,2.42 ppm: Sufficient,-- ppm: ,33.32 ppm: Sufficient,1.11 ppm: Deficient,2.88 ppm: Sufficient
PB/2017-18/95352143/2,08-11-2017,2.00  Acre,Irrigated(Tube well),31.855170,74.634340,8.52 : ,0.18 dS/m: ,0.45 %: Low,-- kg/ha: ,11.41 kg/ha: Very Low,250.21 kg/ha: Medium,15.23 ppm: Sufficient,0.87 ppm: Sufficient,-- ppm: ,8.82 ppm: Sufficient,1.49 ppm: Deficient,1.90 ppm: Sufficient
PB/2017-18/95352143/3,08-11-2017,2.00  Acre,Irrigated(Tube well),31.855170,74.634340,8.52 : ,0.18 dS/m: ,0.45 %: Low,-- kg/ha: ,11.41 kg/ha: Very Low,250.21 kg/ha: Medium,15.23 ppm: Sufficient,0.87 ppm: Sufficient,-- ppm: ,8.82 ppm: Sufficient,1.49 ppm: Deficient,1.90 ppm: Sufficient
PB/2017-18/95352143/1,08-11-2017,2.00  Acre,Irrigated(Tube well),31.855170,74.634340,8.52 : ,0.18 dS/m: ,0.45 %: Low,-- kg/ha: ,11.41 kg/ha: Very Low,250.21 kg/ha: Medium,15.23 ppm: Sufficient,0.87 ppm: Sufficient,-- ppm: ,8.82 ppm: Sufficient,1.49 ppm: Deficient,1.90 ppm: Sufficient
PB/2017-18/95352199/2,08-11-2017,3.00  Acre,Irrigated(Tube well),31.850645,74.635041,7.89 : Moderately alkaline,0.23 dS/m: ,0.40 %: Low,-- kg/ha: ,18.66 kg/ha: Low,161.24 kg/ha: Medium,20.53 ppm: Sufficient,0.51 ppm: Deficient,-- ppm: ,11.40 ppm: Sufficient,1.05 ppm: Deficient,1.96 ppm: Sufficient
PB/2017-18/95352199/1,08-11-2017,3.00  Acre,Irrigated(Tube well),31.850645,74.635041,7.89 : Moderately alkaline,0.23 dS/m: ,0.40 %: Low,-- kg/ha: ,18.66 kg/ha: Low,161.24 kg/ha: Medium,20.53 ppm: Sufficient,0.51 ppm: Deficient,-- ppm: ,11.40 ppm: Sufficient,1.05 ppm: Deficient,1.96 ppm: Sufficient
PB/2017-18/95352237/2,08-11-2017,2.00  Acre,Irrigated(Tube well),31.850130,74.636830,7.87 : Moderately alkaline,0.26 dS/m: ,0.36 %: Low,-- kg/ha: ,17.99 kg/ha: Low,380.80 kg/ha: High,26.58 ppm: Sufficient,0.75 ppm: Sufficient,-- ppm: ,8.29 ppm: Sufficient,2.03 ppm: ,1.74 ppm: Sufficient
PB/2017-18/95352237/1,08-11-2017,2.00  Acre,Irrigated(Tube well),31.850130,74.636830,7.87 : Moderately alkaline,0.26 dS/m: ,0.36 %: Low,-- kg/ha: ,17.99 kg/ha: Low,380.80 kg/ha: High,26.58 ppm: Sufficient,0.75 ppm: Sufficient,-- ppm: ,8.29 ppm: Sufficient,2.03 ppm: ,1.74 ppm: Sufficient
PB/2017-18/95352346/1,08-11-2017,5.00  Acre,Irrigated(Tube well),31.853226,74.634942,8.47 : Moderately alkaline,0.15 dS/m: ,0.38 %: Low,-- kg/ha: ,15.82 kg/ha: Low,237.66 kg/ha: Medium,27.35 ppm: Sufficient,1.20 ppm: Sufficient,-- ppm: ,9.59 ppm: Sufficient,1.39 ppm: Deficient,2.13 ppm: Sufficient
PB/2017-18/95352394/1,08-11-2017,5.00  Acre,Irrigated(Tube well),31.856403,74.637876,8.32 : Moderately alkaline,0.20 dS/m: ,0.42 %: Low,-- kg/ha: ,22.33 kg/ha: Low,186.28 kg/ha: Medium,24.75 ppm: Sufficient,0.92 ppm: Sufficient,-- ppm: ,14.87 ppm: Sufficient,1.91 ppm: Deficient,1.88 ppm: Sufficient
PB/2017-18/95352437/2,08-11-2017,2.00  Acre,Irrigated(Tube well),31.854784,74.637511,8.46 : Moderately alkaline,0.11 dS/m: ,0.43 %: Low,-- kg/ha: ,23.32 kg/ha: Medium,615.78 kg/ha: High,23.88 ppm: Sufficient,0.33 ppm: Deficient,-- ppm: ,10.73 ppm: Sufficient,1.48 ppm: Deficient,1.58 ppm: Sufficient
PB/2017-18/95352437/1,08-11-2017,2.00  Acre,Irrigated(Tube well),31.854784,74.637511,8.46 : Moderately alkaline,0.11 dS/m: ,0.43 %: Low,-- kg/ha: ,23.32 kg/ha: Medium,615.78 kg/ha: High,23.88 ppm: Sufficient,0.33 ppm: Deficient,-- ppm: ,10.73 ppm: Sufficient,1.48 ppm: Deficient,1.58 ppm: Sufficient
PB/2017-18/95352498/2,08-11-2017,2.00  Acre,Irrigated(Tube well),31.858445,74.637646,7.93 : Moderately alkaline,0.11 dS/m: ,0.45 %: Low,-- kg/ha: ,20.26 kg/ha: Low,99.01 kg/ha: Low,11.93 ppm: Sufficient,0.41 ppm: Deficient,-- ppm: ,4.79 ppm: Sufficient,1.56 ppm: Deficient,1.20 ppm: Sufficient
PB/2017-18/95352498/1,08-11-2017,2.00  Acre,Irrigated(Tube well),31.858445,74.637646,7.93 : Moderately alkaline,0.11 dS/m: ,0.45 %: Low,-- kg/ha: ,20.26 kg/ha: Low,99.01 kg/ha: Low,11.93 ppm: Sufficient,0.41 ppm: Deficient,-- ppm: ,4.79 ppm: Sufficient,1.56 ppm: Deficient,1.20 ppm: Sufficient
PB/2017-18/95352553/2,08-11-2017,2.00  Acre,Irrigated(Tube well),31.860521,74.637608,8.52 : ,0.13 dS/m: ,0.38 %: Low,-- kg/ha: ,20.49 kg/ha: Low,248.19 kg/ha: Medium,21.89 ppm: Sufficient,0.66 ppm: Sufficient,-- ppm: ,9.22 ppm: Sufficient,1.12 ppm: Deficient,1.98 ppm: Sufficient
PB/2017-18/95352553/3,08-11-2017,2.00  Acre,Irrigated(Well),31.860521,74.637608,8.52 : ,0.13 dS/m: ,0.38 %: Low,-- kg/ha: ,20.49 kg/ha: Low,248.19 kg/ha: Medium,21.89 ppm: Sufficient,0.66 ppm: Sufficient,-- ppm: ,9.22 ppm: Sufficient,1.12 ppm: Deficient,1.98 ppm: Sufficient
PB/2017-18/95352553/1,08-11-2017,2.00  Acre,Irrigated(Tube well),31.860521,74.637608,8.52 : ,0.13 dS/m: ,0.38 %: Low,-- kg/ha: ,20.49 kg/ha: Low,248.19 kg/ha: Medium,21.89 ppm: Sufficient,0.66 ppm: Sufficient,-- ppm: ,9.22 ppm: Sufficient,1.12 ppm: Deficient,1.98 ppm: Sufficient
PB/2017-18/95352606/2,08-11-2017,3.00  Acre,Irrigated(Tube well),31.862398,74.637682,7.96 : Moderately alkaline,0.23 dS/m: ,0.39 %: Low,-- kg/ha: ,15.79 kg/ha: Low,82.16 kg/ha: Low,12.10 ppm: Sufficient,0.29 ppm: Deficient,-- ppm: ,4.78 ppm: Sufficient,1.58 ppm: Deficient,1.18 ppm: Sufficient
PB/2017-18/95352606/1,08-11-2017,3.00  Acre,Irrigated,31.862398,74.637682,7.96 : Moderately alkaline,0.23 dS/m: ,0.39 %: Low,-- kg/ha: ,15.79 kg/ha: Low,82.16 kg/ha: Low,12.10 ppm: Sufficient,0.29 ppm: Deficient,-- ppm: ,4.78 ppm: Sufficient,1.58 ppm: Deficient,1.18 ppm: Sufficient
PB/2017-18/95352649/2,08-11-2017,2.00  Acre,Irrigated(Tube well),31.862216,74.639002,7.87 : Moderately alkaline,0.26 dS/m: ,0.40 %: Low,-- kg/ha: ,23.61 kg/ha: Medium,239.90 kg/ha: Medium,15.65 ppm: Sufficient,2.52 ppm: Sufficient,-- ppm: ,35.81 ppm: Sufficient,1.06 ppm: Deficient,2.71 ppm: Sufficient
PB/2017-18/95352649/1,08-11-2017,2.00  Acre,Irrigated(Tube well),31.862216,74.639002,7.87 : Moderately alkaline,0.26 dS/m: ,0.40 %: Low,-- kg/ha: ,23.61 kg/ha: Medium,239.90 kg/ha: Medium,15.65 ppm: Sufficient,2.52 ppm: Sufficient,-- ppm: ,35.81 ppm: Sufficient,1.06 ppm: Deficient,2.71 ppm: Sufficient
PB/2017-18/95352681/2,08-11-2017,2.00  Acre,Irrigated(Well),31.860777,74.639509,7.52 : Moderately alkaline,0.21 dS/m: ,0.40 %: Low,-- kg/ha: ,19.80 kg/ha: Low,457.63 kg/ha: High,24.55 ppm: Sufficient,1.22 ppm: Sufficient,-- ppm: ,10.55 ppm: Sufficient,1.23 ppm: Deficient,2.40 ppm: Sufficient
PB/2017-18/95352681/1,08-11-2017,2.00  Acre,Irrigated(Tube well),31.860777,74.639509,7.52 : Moderately alkaline,0.21 dS/m: ,0.40 %: Low,-- kg/ha: ,19.80 kg/ha: Low,457.63 kg/ha: High,24.55 ppm: Sufficient,1.22 ppm: Sufficient,-- ppm: ,10.55 ppm: Sufficient,1.23 ppm: Deficient,2.40 ppm: Sufficient
PB/2017-18/95352718/2,08-11-2017,3.00  Acre,Irrigated(Tube well),31.858819,74.639826,8.56 : ,0.12 dS/m: ,0.42 %: Low,-- kg/ha: ,26.43 kg/ha: Medium,647.14 kg/ha: High,41.78 ppm: Sufficient,0.69 ppm: Sufficient,-- ppm: ,8.42 ppm: Sufficient,2.74 ppm: Sufficient,1.56 ppm: Sufficient
PB/2017-18/95352718/1,08-11-2017,3.00  Acre,Irrigated(Tube well),31.858819,74.639826,8.56 : ,0.12 dS/m: ,0.42 %: Low,-- kg/ha: ,26.43 kg/ha: Medium,647.14 kg/ha: High,41.78 ppm: Sufficient,0.69 ppm: Sufficient,-- ppm: ,8.42 ppm: Sufficient,2.74 ppm: Sufficient,1.56 ppm: Sufficient
PB/2017-18/95352755/2,08-11-2017,2.00  Acre,Irrigated(Tube well),31.856240,74.639630,7.56 : Moderately alkaline,0.24 dS/m: ,0.39 %: Low,-- kg/ha: ,23.00 kg/ha: Medium,154.63 kg/ha: Medium,20.29 ppm: Sufficient,0.73 ppm: Sufficient,-- ppm: ,11.04 ppm: Sufficient,1.00 ppm: Deficient,1.66 ppm: Sufficient
PB/2017-18/95352755/1,08-11-2017,2.00  Acre,Irrigated(Tube well),31.856240,74.639630,7.56 : Moderately alkaline,0.24 dS/m: ,0.39 %: Low,-- kg/ha: ,23.00 kg/ha: Medium,154.63 kg/ha: Medium,20.29 ppm: Sufficient,0.73 ppm: Sufficient,-- ppm: ,11.04 ppm: Sufficient,1.00 ppm: Deficient,1.66 ppm: Sufficient
PB/2017-18/95352785/2,08-11-2017,2.00  Acre,Irrigated(Tube well),31.854422,74.640202,7.66 : Moderately alkaline,0.15 dS/m: ,0.39 %: Low,-- kg/ha: ,16.21 kg/ha: Low,109.07 kg/ha: Low,9.43 ppm: Deficient,0.68 ppm: Sufficient,-- ppm: ,6.48 ppm: Sufficient,3.41 ppm: Sufficient,1.71 ppm: Sufficient
PB/2017-18/95352785/1,08-11-2017,2.00  Acre,Irrigated,31.854422,74.640202,7.66 : Moderately alkaline,0.15 dS/m: ,0.39 %: Low,-- kg/ha: ,16.21 kg/ha: Low,109.07 kg/ha: Low,9.43 ppm: Deficient,0.68 ppm: Sufficient,-- ppm: ,6.48 ppm: Sufficient,3.41 ppm: Sufficient,1.71 ppm: Sufficient
PB/2017-18/95352819/2,08-11-2017,3.00  Acre,Irrigated(Tube well),31.854423,74.640206,7.36 : Moderately alkaline,0.25 dS/m: ,0.42 %: Low,-- kg/ha: ,25.87 kg/ha: Medium,149.45 kg/ha: Medium,14.54 ppm: Sufficient,0.95 ppm: Sufficient,-- ppm: ,8.83 ppm: Sufficient,3.40 ppm: Sufficient,2.13 ppm: Sufficient
PB/2017-18/95352819/1,08-11-2017,3.00  Acre,Irrigated(Tube well),31.854423,74.640206,7.36 : Moderately alkaline,0.25 dS/m: ,0.42 %: Low,-- kg/ha: ,25.87 kg/ha: Medium,149.45 kg/ha: Medium,14.54 ppm: Sufficient,0.95 ppm: Sufficient,-- ppm: ,8.83 ppm: Sufficient,3.40 ppm: Sufficient,2.13 ppm: Sufficient
PB/2017-18/95352863/2,08-11-2017,2.00  Acre,Irrigated(Tube well),31.854420,74.640200,7.45 : Moderately alkaline,0.13 dS/m: ,0.47 %: Low,-- kg/ha: ,23.59 kg/ha: Medium,162.47 kg/ha: Medium,19.86 ppm: Sufficient,0.81 ppm: Sufficient,-- ppm: ,10.26 ppm: Sufficient,1.54 ppm: Deficient,1.77 ppm: Sufficient
