Ouery_Cleaned,Answer
reddening,spray magnesium sulphate 60gm+ DAP 200gm / 15 lit of water
mealybugs,Spray Nuwan 20 ml/ 15Lit of Water.
red mites attck,Spray Oberon 15 ml M-45 30 GRAM /15 Lit of Water.
root rot,for control of root rot  in cotton - drenching Redomil Gold 30 gm+ humic Acid 30 ml(Mephonaxon+mancozeb)syngnt
aphids thrips,Spray super confidor 07 ml +  12:61:00 60 gm /15 liter of water(Imida 17.8 sl)-Bayer
red spot,spray 12:61:00  60  GM  + MICROLLA 30 ML + BAVISTIN 25 GM  /15 LITER WATER .
thriphs jassids,ATTACK OF THRIPHS AND JASSIDS ON COTTON-Spray super confidor 10 ml /15 liter water(Imida 17.8 sl)-Bayer
sugarcane pyrilla mava,Spray Tata mida10 ml /15 liter water(Imida 17.8 sl)-Tata Rallis
informatiopn leaf curl,Spray Tata mida10 ml /15 liter water(Imida 17.8 sl)-Tata Rallis
stop extra growth,spray liosin 3 ml/15 lit water
growth spray,SPRAY CONFIDOR /  ASTRA 5 GRAM+ 19:19:19 / 00:52:34  – 60 GRAMS + MICROLA – 40 ML + BAVISTIN – 30 GRAMS IN 15 LITER OF WATER
fertilizer spray,12:61:00 100 gm + microlla / 15 liter of water
root devolapment,COTTON ROOT DEVOLAPMENT== -humic acid 20 ml+19:19:19 50 gm 15 liter water-drnching
spray growth,srpay 2% uriya (2 kg / 100 liter of water )
red leaf symptoms,COTTON RED LEAF SYMPTOMS= 80 GRAM UREA+ MAGNESIUM SULFPATE 50 GRAM + 10 GRAM ZINC SULFHATE.
healthy flowering,Spray Boom flower 20ml/15lit of Water.
wilt,Blue copper -40 gm/15 lit water.+ Humic Acid 30ml/15 Lit of Water Drenching.+ Spray Microlla 30 ml/15 Lit of Water
farmer report,Partly cloudy weather and possibility of light rain.
nimboli ark,nimboli ark
trips,Confidor super / Confidor 6 ml/15 Lit of Water.
sucking pest red leaves,Spray Confidor super / Confidor 10 ml/15 Lit of Water.
thrips cootton,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)+ 30 GRAM - M-45 -Syngenta
cottonjassids,Spray Menstar 15 ml/15 liter of water(Bifenthruin)-Makhteshim agan
jassid,Spray Actra 5 gm + 30 GRAM -M-45 /15 Liter of Water(Thiomithoxom 25%)-Syngenta
thripas,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
yellowing,spray 19:19:19 40 gm + microla 30 gm / 15 liter of water
thrips growth,Spray Actra 5 gm/15 Lit of Water.makka-19:19:19-60 gram + microla -30 mili / 15 liter water.
drenching,COTTON - DRENCHING REDOMIL GOLD 30  gm / 15 liter water
thrips fertilizer dose,Spray Actra 5 gm/15 Lit of Water.19:19:19-60 gram + microla-30 mili / 15 liter water
caterpillar wilt fertilizer dose growth,TAKUMI -8 GRAM /15 LITER WATER GINGER-Drenching Bavistine 30 gm + Humic Acid 30 ml/15 Lit of Water 19:19:19-60 GRAM + MICROLA -30 MILI /15 LITER WATER
aphids thrips jassids,"Attack of Aphids,Thrips and Jassids ON COTTON- Spray Karate20ml/15 Liter of Water(Lambda 5 SC)-Syngenta"
sucking pest attackon,Spray- Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
aphids,COTTON APHIDS==--Spray Karate10ml + RECORD 10 MILLI /15 Lit of Water
thirpes,ATTACK OF SUCKING PEST--- SPRAY CONFIDOR / ACTRA + 00:52:32 -- 60 GRAM + MICROLA --- 40 ML IN 15 LIT OF WATER
yellowing death,DRENCHING WITH 60 GM S.S.P. + 30 GM BAVISTIN + 100 GM UREA / 15 LITER OF WATER.
farmer fast vegetavive groth,FAST VEGETAVIVE GROTH OF COTTON== 19;19;19-60-GRAM + microlla 30milli + urea 30 gram/ 15 lit.waer
aske dabout thrips,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
adverse effect pesticide,SPRAY TABA AND APPLY 19:19:19 + UREA THROUGH DRIP.
catterpillres,CATTERPILLRES  ON COTTON=-ACIFATE-20 GRAM  +  TRIZOFPOS 30 MILLI/ 15 LITER WAER SPRAY
aphids pyrilla mava,Spray - Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
thrips farmer flowering,Spray Actra 5 gm/15 Lit of Water.Spray Boom flower 20 ml /15lit of Water.
leah eating catterpillar,COTTON LEAH EATING CATTERPILLAR= QUINFOLS 30 ML + BAVISTIN 30 GRAM + MICROLLA 30 MILLI / 15 LITER WATER.
afhids jassids,Spray Karate20ml +M-45 30 GRAM + MICROLLA 30 MILLI /15 Liter of Water(Lambda 5 SC)-Syngenta
rootgrowth ofcotton,DRENCHING OF  HUMIC ACID 30 ML/15 LITER WATER
ctton red leaf,CTTON RED LEAF ==- MAGNESIUM SULFHATE 80 GRAM + UREA 80 GRAM / 15 LIT.WATER SPRAY.
flower,FOR BLOOSMING Spray Boom flower 20ml(DeviCropscience)/15 liter of Water.
white,confidor 10 ml /super confidor 10 ml /15 litar water
thrips jassids,Spray - Actara 5 gm/ 15 liter of water(Thiamethoxam)-Syngenta
aphidsasking,Spray Roger 15 ml/15 Liter of Water(Dimethoate)-CheminovaTHIS WEEK IS CLOUDY LIGHT RAINFALL CHANCES DURING THIS WEEK .
pyrilla mava,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
red mites,Spray Oberon 15ml /15Lit of Water..
ahrips,cotton ahrips attack=Spray Actra 5 gm microlla+ 30miili + bavsitiin 30 gram /15 Liter of Water(Thiomithoxom 25%)-Syngenta
leaf eating caterpillar,spray  profenophos 50 % EC  2 ml / 1 liter of water
yellowing leaves,19 19 19 60 gm + microlla 30 ml  /15lit of water
blooming,Spray Boom flower 20ml(DeviCropscience)/15 liter of Water.
red mite,spray omite to control red mite.
nutrient management,spray 00:52:34 + 19 19 19 60 gm + microlla 50gm/15 lit of water.
leaf spot,Spray Bavistine 30gm/15liter of Water(Carbendazim 50%)BASF
aphid,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
caterpilklar,spray quinolphos 15 ml / 15 liter of water.
thrips aboutfertilizer dose grouth,Spray rejent 15 ml/15 liter water.19:19:19-60 GRAM + MICROLA -30 MILI /15 LITER WATER
better growth,drainching of 19:19:19 3 kg + microlla  300 ml + humic acid 300 ml
red mites cooton,Spray Oberon 15ml + Sticker 10 ml/ 15Lit of Water.
fugus attaqk,FUGUS ATTAQK =Spray Bavistane 30 gm + NUVAN 30 MILLI /15 Liter of Water(Carbandazin)-Basf
aphds,Spray quinalphos 30ml +m-45-30gram + microlla 30 milli/15 Lit of Water.
thrips fungus,Spray Ullala 8 gm/15 Lit of Water.
mealy,spray nuwan 20ml + nirma powder 30gm / 15 lit of water
whitefly,SPRAY LANCERGOLD 25GM + PRIDE 7GM / 15 LIT OF WATER
flowering,Spray Plano fix 5ml/15 Lit of Water.
flower increasing tonic,Spray Boom flower 20ml + 12:61:00 60 gm /15 lit. of Water.
spray stop growth,spray levosin 5 ml + 00:54:34 60 gm / 15 liter of water
farmer flower growth,Spray Boom flower 20ml/15lit of Water.
increase flowering rate,to increase flowering Spray Boom flower 20ml/15lit of Water.
white fly red leaves,to control reddening in cotton spray urea 200gm + magnesium sulphate 60gm+ actra 5gm/15 lit of water
afhids,COTTON AFHIDS=Spray profenophos 30 ml + BAVISTIN 30 GRAM / 15 liter of water
abou tthrips,confidor 10 ml /super confidor 10 ml /15 litar water
rde leaf,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
bacterial blight,19:19:19 60 GM  + MICROLLA 30 ML + BAVISTIN 30 GM/15 LITER WATER
fungicide,Spray Bavistane 30 gm/15 Liter of Water
red red leaf,RED LEAF  OF COTTON== MAGNESIUM SULFHATE-60 GRAM  + UREA 60 GRAM /15 LITER WATER.
vigrous groth,COTTON VIGROUS GROTH== 19 -19-19=60 GRAM + microlla 40 milli +humic acid  25 milli / 15 liter water spray
vegetative groth,19;19;19=60 GRAM +MICROLLA 30 MILLI/15 LIT. WATER
flower incresing spray,Spray Boom flower 50 ml/15lit of Water.tonic for flowering
readning lives,spary magnessium sulphate
flower dropping,Spray Plano fix 5ml/15 Lit of Water.
report,"Weather Will Be  Cloudy, No Possibility Of Rain."
higher flower cottton,Spray Boom flower 20ml/15lit of Water.
shoot borer,COTTON SHOOT BORER=Spray Quinalphos (20 % AF) 22 ml/15 liter of waterSpray Quinalphos (25 % EC)15 ml + M-45 30 GRAM / l5 liter of water
redinin sucking pest,actara 5 gm + ridomil gold 30 ml 15 liter water
redning cattaon,DAP 200 GM + MAGNESIUM  SULPHATE 60 GM /10 LIT
fruit borer,Spray Profex Super 30 ml / 15 lit of water.
soybean fertilizer doses,00.52.34+MICROLLA SPRAYING
drying leaves,DRENCH BAVISTIN 2 GM / LITAR OF WATER
yellow leaves,spray uriya 2 % + nim ark 20 ml/ 15 liter
fertilizer applicaton,DAP 2 BAG +10 :26 :26 1 BAG /AKAR
cattrpillr,Spray Profex super 30 ml+ M-45 30 GRAM /15 liter of water(Profenofos+ Cypermethrin)-Nagarjuna
leaf eating cattaerpillrs,LEAF EATING CATTAERPILLRS ATTACK ON COTTON==-Spray Coragen 5ml + M-45 30 GRAM 30 GRAM /15 Liter of Water(Chlorantraniliprole)Dupont
grey mildew,grey mildew  on cotton -spray  sulpher 3 gm / liter water
sucking pest fertilizer dose growth,Spray Actra 5 gm/15 Lit of Water.19:19:19-60 gram + microla -30 mili / 15 liter water
gray mildew,Spray Bavistane 30 gm/15 Liter of Water(Carbandazin)-Basf
white grub,Humnasur 1 kg/acre(Patil Biotech)
dieback,DRENCHING WITH 200 GM URAEA + S.S.P. 60 GM + 50 GM MAGNESSIUM + 20 GM BAVISTIN IN 10 LITAR OF WTARE.
spraying,livosin + fungicide mix spraying can not be preferred
sudden die,drench bavistin 2 gm / 1 liter of water.
less flowering,boom flower 20 ml / 15 litar water
sucking atatck,SPRAY ACTRA-5 GRAM/15 LITER WATER SPRAYING
quantity levosin qunatity used,spray levosin 0.5 ml + 00:52:34 5 gm / liter of water
yellowing leaves growth flowers,FOR BLOOSMING Spray Boom flower 30ml(DeviCropscience)/15 liter of Water.
whie fly ofcotton,Spray Actra 5 gm + Redomil Gold 30 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta
white fly thrips,Spray Confidor super / Confidor 10 ml/15 Lit of Water.
die ing,Drenching of bavistin 30 gm / 15 lit of water.
farmer increasing flowers,Spray Boom flower 20ml++ 00:52:34 60 GM/15lit of Water.
red colour leaves,SPRAY 60 GM MAGNESSIUM SALPHATE + 100 GM UREA / 15 LITER OF WTARE.
growth stop,spray liocin 1 mili/lit of water.
athrips,Pegasus 25 gm /15 lit
red mite cootton,Spray Omite 5ml + BAVISTIN 30 GRAM /15 Liter of Water(propynyl ester)-Nufarm
tonic flowering,Spray Boom flower 20 ml +00:562:34 40gm/15lit of Water
afhids attcak,Spray super confidor 10 ml+M-45 30 GRAM  /15 liter of water(Imida 17.8 sl)-Bayer
aphids n cootton,Spray super confidor 10 ml + M-45 30 GRAM /15 liter of water(Imida 17.8 sl)-Bayer
suking dpest,-  Spray Confidor super / Confidor 10ml/15 Lit of Water.
aatack caterpilar,spray tryzophos + deltamethrin 1 ml / liter water
yellowing leavs,srpaying of 2 percent dap and humic acid 2ml and m 45 2 gm /lit water
stop vegetative growth,SPRAY LIHOSIN 3 ML /10 LITRE OF WATER
askeed aphids,Spray Actra 5 gm + M-45 30 GRAM /15 Liter of Water(Thiomithoxom 25%)-Syngenta
white fly aatack,WHITE FLY AATACK ON COTTON =-Spray Oberon 15 ml +M-45 30 GRAM /15 Liter of Water(spiromesifen 20.9%)-Bayer
fungicides,FungicidesSPRAY M 45 30 GM /15 LITER WATER(mancozeb)Dow Agro
leaf eating catterpillar,COTTON LEAF EATING CATTERPILLAR-Spray Chloropyriphos 30ml + NUVAN 10 ML + MICROLLA 40 ML /15 Lit of Water.
leaf eating catterpillrs,COTTON LEAF EATING CATTERPILLRS==Spray Chloropyriphos 30ml /Polo 25gm +M-45-30 GRAM +MICROLLA 30 MILLI //15 Liter of Water.
micro nutrient,Spray Microlla 30 ml/15 Lit of Water.
vegetaive groth,VEGETAIVE  GROTH COTTON= 19;190;19- 30 GRAM + MICROLLA-30 GRAM +/ 15 LIT.WAER  SPRAY
blight oc,Spray Tilt / score / kavach 30gm c+ Chloropyriphos 40 ml +/15lit of Water.
thrips white fly,confidor 10 ml /super confidor 10 ml + manganese sulphate 60 gm /15 litar water
fungal red leaves,spray 50 Gram Magnesium Sulphate + 30 Gram Bavistin 10 Liter Water
cooton afpids,COOTON AFPIDS ATTACK=Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
floer groth,FLOER MORE GROTH  OF COTTON =- BOOMFLOWER 20 MILLI / 15 LIT.WATER
pink bollworm,Spray - Profenophos 25 ml/15 liter of water.
govt scheme,visit to T.A.O. FOR MORE INFORMATION
catterpiller,Spray Proclaim10 gm/15 liter of Water(Emamectin Benzoate)Syngenta
boll worm,control of boll worm on cotton - Spray fame 5ml/15 Liter of Water(Flubendiamide 480SC)Bayer
sprying,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
farmer boll worm,For control of boll worm on cotton =spray Triazophos 40 EC 30 ml in 15 liter of water..........
attach aphid,Spray Asiphet 30 gm +M 45 30 GM  /15 Liter of Water (Asifet 70 sp)-Tata Rallis
aphidsn,Spray Ullala 8 gm/15 Lit of Water.(flonicamid)-UPL
farmer sucking pest,For control of sucking pest of cotton = spray bio-303 (30 ml ) in 15 liter of water.....
increase leaves,Spray 0.52.34 60 GRAM + Plano fix 5ml/15 Lit of Water.
fertilizer dose ratoon sugarcane,Apply 10:26:26 2 bag + urea 2 bag + zink sulphate 10 kg + ferrous sulphate 10 kg + manganese sulphate 10 kg + calcium magnesium sulphar 10 kg + boron 5 kg + neem cake 50 kg per acre.
herbicide,SPRAY CUZALOFOPETHYL 1.5 LITRE IN 500 LIT WATER
pink boll worm,for control of pink boll worm  on cotton  -Spray Profenophos 20 ml/15 liter of water.
wooly aphid,spry nuvan 30 ml /15 lit
aske dfor thrips,THRIPS ATTACK ON COTTON=Spray profenophos 30 ml/ 15 liter of water
new growth,200 GM UREA + MICROLLA 100 ML + BAVISTIN 30 GM/15 LITER WATER
rate,5-12-2015----PARTURQUINTAL1898405041254100----SAILUQUINTAL900402141694151----MAHURQUINTAL210380039503850LOCALWARDHAQUINTAL3001395041004050LOCALDEULGAON RAJAQUINTAL500400041954100
tonic growth,SPRAY MICROLA 30 ML /15 LITER WATER
farmer aphids,Spray Asiphet 30 gm/15 Liter of Water (Asifet 70 sp)-Tata Rallis
askinh caterpillar,Spray - Quinolphos 30 ml/15 liter of water.
farmer pink boll worm,For control of pink boll worm on cotton = spray Triazophos 40 EC 30 ml in 15 liter of water .
mava,spray micronutrient +actra 5 gram in 15water
farmer white fly,For control of white fly on cotton = Spray Oberon 15 - 20 ml in 15 liter of water......
reddin leaf,REDDIN LEAF ON COTTON= MAGNESIUM SULFHATE 100 GRAM + UREA 100 GRAM /  SPRAY IN 15 LITER OF WATER
jassids,JASSIDS ATTACK ON COTTON=-Spray Regent 30 ml /15 liter water(Fipronil 5 SC)-Bayer
leaf hopper,attack of leaf hopper - Spray Admire 5 gm/15 Liter of Water (Imida 70 wp)-Bayer
leaf spot leaves,for control of leaf spot on cotton leaves Spray Antracol  45 gm/15 Liter of Water(Propineb)-Bayer
bollworm,Spray Proclaim 07 gm/15 liter of Water(Emamectin Benzoate)Syngenta
mug cultivation,"?????? ???-????(???,??????????,?????)?????? ?????? (??./??.)??-?????????? ???? (??.????)-??-??*????????? ??????? (???????/??.)??-???????? ??????? (????)??-????????? ????-???(???????),??????????(??????? ???),???????(???? ??????)"
sms service activation,sms service is activated on your mobile number
farmer market rate,market rate of cotton=4300-4600 rs/qtl
fungal sucking pest,Spray Actra 5 gm +Spray M-45 30 gm/15 Lit of Water.
condition,Cloudy weather no possibility of rainfall.
marketrate,cotton-
catterpillers,CATTERPILLERS ATTACK ON COTTON=-Spray Proclaim10 gm/15 liter of Water(Emamectin Benzoate)Syngenta
forcast,"Weather is Partly cloudy ,no possibility of rain"
wheat fertilizer doses,"10.26.26-1 BAG , MICRONUTREANTS-1 BAG , 19.19.19-3 KG/ACRE"
aboyut tur market rate,????? ????? ??? - ????-4745QTL
reddning,SPRAY MAGNESIUM SULPHATE 60 GM + 12:61:00 75 GM  + Roger 15 ml/15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
rednning,Spray Bavistane 30 gm/15 Liter of Water(Carbandazin)-Basf
farmer sms activation,Your Registration process successfully completed.
market rtae,COTTON-4500-4700 QTL
yallowing,DRENCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER
tonic wilt,spray Bavistane 30 gm+ 19:19:19 60 gm + microlla  30 ml + humic acid 30 ml / 15 liter of water
deficieny red leaf,MAGNESIUM SULPHATE 5 GM+UREA 2 GM// 1 LIT. WATER.
aphids sucking pest,Spray Metador 25 ml / 15 lit of water
prentive dose,ROGOR 20 ML+ MICROLLA 40 ML + M-45 -30 GM/ 15 LIT. WATER
fertilizer growth,cotton - fertilizer for growth 20% boron
askeda harbicides,usetargasuper  60 mili per 15 liter water
cut worm,drenching  Chloropyriphos 30ml/15 Liter of Water application of thimet-0.5 kg / ekar
chilli caterpillar,Spray Profex Super 30 ml / 15 lit of water.
fungal infection,you can spray regent 30 mili +actra 5 gram/pamp waterapply 5 kilo 19 19 00 / acre / week through drip? ???? ?? ?? ?? ?? ??? ???? ?? / ??? / ????? ????
stem borer,Phorate 3kg/Acre Application.
leaf minor,Spray Azadirictine 30 ml/15 Lit of Water
catterpillar,M-45 =30 GM+ MICROLLA 50 ML +Spary profex super 30 ml / 15 liter of water.
leaves downy,MICROLLA 50 ML+KARATE 30 ML +Blue copper -40 gm +  humic acid 30 ml /15 lit water.
apifhids,COTTON APIFHIDS ATTACK=Spray Clasic 20 10ml/15 Lit of Water.
sucking pest spraying,spray nim ark 30ml/ 15 liter of water
thirps,Spray Actra 5 gm + m 45 30 gm + microlla 30 ml/15 Lit of
ahids,Spray Pegasus 25 gm + M-45-30 GRAM / 15 liter of water(Diafenthiuron)Syngenta
leaf borrer soyabean,spray of cloropyariphos @ 30ml / 15 lit . of water .
bird influence,Spray Azadirictine 30 ml+ Sticker 10 ml/15 Lit of Water.
prevention pest,Spray Azadirictine 30 ml/15 Lit of Water.
increase flowering growth,spray Boom flower 20ml/15lit of Water.
preventive spray,Spray =M-45 30 GM+19;19;19-50 GMSpray Chloropyriphos 30ml/15 Lit of Water.
yellowing leavves,Spray actra 5 gm + Redomil Gold 30gm/15Lit of Water.
thrips whitefly,Spray Actra 5 gm/15 Lit of Water.
fertiliser dose forcotton,MICRO NUTRIENTS 10 KG/ACRE
neem arc,NEEM ARC 30 ML IN 15 LITER WATER
prevntive spray,M-45= 30 GM+19;19;19- 50 gm+quinolphous 30 ml /15 litar water
spray,Spray 00-52-34 30gm/15lit of water.
laeaaf eating cattarpillar,MICROLLA - 50 ML  M-45 30 GM+Spray Chloropyriphos 30ml/15 Lit of Water.
mealy bugs cotoon,Spray Nuwan 20ml/ 15Lit of Water.
dumping,DRENCHING OF 12:61:00 - 75 GM + BAVISTIN 30 GM / 15 LITER WATER
snell,use snell kill to control snell
spry,spray  19:19:19 40 gm + microlla  30ml /15 liter of water
fungus,drenching -  Bavistine 30 gm + Humic Acid 30 ml/15 Lit of Water
white spot leaves,spray trizophos 30 ml + bavistin 30 gm / 1`5 liter water
thtips,Spray Confidor super / Confidor 10ml +Spray M-45 30 gm + microlla 30 ml + confidar supar 10 ml + 19 19 19 60 gm /15 Lit of Water.
anout fungicide,for cotton crop - Spray Bavistine 30gm/15lit of Water.
foliar spray,cotton ---spray 00:52:34 + 19 19 19 60 gm + microlla 50gm/15 lit of water.
jassid aphids,KARATE- 25 ML+ M-45-/ 30 GM+ MICROLLA-50 ML/ 15 LIT.WATER.
fungus fungus,spray m-45 30 gm in 15 liter water.
fpr red leaf spot,RED LEAF SPOT- MAGNESIUM SULPHTE 40 GM+ 12;61;0-=40 GM/15 LIT.WATER.
cultivation,"Weather Is Partly Cloudy, Possibility of Rain."
aphids jassid,"COTTON APHIDS, JASSID ATTACK==Spray Karate10ml M-45 30 GM + MICROLLA 40 ML /15 Lit of Water"
thrips fungicide,Spray Actra 5 gm/15 Lit of Water.
tonik,spray taba on cotton crop
gavar catterpilar atack,Spray Profex Super 30 ml / 15 lit of water.
sucking pest incotton,Spray Confidor super / Confidor 10ml/15 Lit of Water.
stunted growth,spray uriya 2 kg/ 100 liter of water
vigros groth,MICROLLA 30 ML + 19;19:19 -40 GM + HUMIC ACID 30 GM +MAGNESIUM SULPHATE 50 GM/15lit of Water.
white mileay bug,quinalphous 30 ml / 15 lit of water
leaf curl,Spray Actra 5 gm/15 Lit of Water.
aphids attak,COTTON APHIDS ATTAK==Spray Record 10 gm or Pride 10 gm / 15 lit of water
apfids,COTTON APFIDS ATTACK=Attack of Thrips? Spray Bavistine 30gm+ Confidor super / Confidor 10ml/15 Lit of Water.
sms registration,your sms registration  is successfully completed
wilt mar drenching,Redomil Gold 30 gm+humic Acid 30 ml(Mephonaxon+mancozeb)syngnt
weedicide,pendamithilin pre emergence weedicide
lalya,spray magnesium sulphate - 10 kg + urea - 50 kg / acre
seed treatment,thirum 3gm per kg seed of cotton
red leaf leaf,spray urea 100 gm + magnesium sulphate 15 gm + zink sulphate 30 gm / pump
cattepillers,Spray Quinolphos 20 ml/15 liter of water.
leaf eating,"use feroman trap, install bird stand, spray profenophos 50 EC 20 mili/ 10 liter of water"
humani,thimate 4/acre
thirps attak,COTTON THIRPS ATTA-Spray Chloropyriphos 30ml+M 45 25GM /15 Lit of Water.
vegetavive groth,19;19;19 30. GRAM+REDOMIL GOLD 30 GM./15 LIT.WATER SPRAY.
reddenig,SPRAY UREA - 200 GRAM + MgSO4 -- 100 GRAM IN  15 LIT OF WATER
sucking per,confidor 10 ml /super confidor 10 ml + Sticker 10 ml/15 litar water
micronutrint,Magneshium Sulphate 30 ML+calcium+boron 20gm /15litr water
leaf drying,Spray 2% Urea 200 gm + MICROLLA 30 ML + 00:52:34 60 GM /10Lit of Water.
red leaf spot,COTTON RED LEAF SPOT= 45 -30 GM+ MICROLLA 30 ML/ 15 LIT. WATER
sms registraction,youe SMS service registraction is sucessfull.
varieties,"Kanak, Rashi-II, NH-4, Mallika. Pratik-27, AJIT-155, AJIT-199,AJIT-104,OBAMA,DR.BRAND,JADDU"
white fly sucking pest,Spray Actra 5 gm /15 Lit of Water.
cut worms,APPLY FORATE 5 KG / ACRE
redenning,foliar spray for cotton- spray urea 150gm + magnesium sulphet 50gm + zinc sulphet 20gm / 15 liter of water
askeing insurance,last date of crop insurance 30 june
leaf eating cattelpiller,LEAF EATING CATTELPILLER==Messile 15ml + m -45= 20 gm./15 Lit of Water.
fungiside,drench blue copper or bavistin 2 mili/ gm/ liter of water
weedside,"????????????- (???? ?????, ??????)- ???????????? ????????? ?????? ? ??? ????? ???? ???? ????? ??????."
weatther record,"weather ,no possibility of Light  rainfall"
maize yellowing leaves,Spray Redomil Gold 30gm + humic acid 30 ml /15Lit of Water.
askeda bout varieties,"Kanak, Rashi-II, NH-4, Mallika. Pratik-27, AJIT-155, AJIT-199"
ball worm,Spray polytrine 30 ml/15 liter water.
leaf drop,Spray 0.52.34 60 gram +Plano fix 5ml/15 Lit of Water.
thripa,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer
caterpilla,Spray Quinolphos 30 ml/15 liter of water.
caterpilar,SPRAY PROCLAIM 7 GM + 13:40:13 60 gm/ 15 LITER WATER
shoot bore,Spray fame 5ml/15 Lit of Water.
wilt attck,Spray Redomil Gold 30 gm/15 Liter of Water(Mephonaxon+Mancozeb)-Syngenta
mealy bug cottton,Spray Karate15 ml/15 Liter of Water(Lambda 5 SC)-Syngenta
stop growth,Spray of liosin 15ml/15lit.water.
askedf red leaf,RED LEAF OF COTTON =- MAGNESUIN SULFHATE 100 GRAM + UREA 100 GRAM / SPRAY -IN 15 LITER OF WATER..
thrips attak,Spray super confidor 10 ml /15 liter water(Imida 17.8 sl)-Bayer
