Season,Sector,Category,Crop,QueryType,Query,Answer,State,District,Block,DateTime
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,varieties of cotton,"COTTON-Kanak, Rashi-II, NH-4, Mallika. Pratik-27, AJIT-155, AJIT-199",MAHARASHTRA,JALGAON,MUKTAINAGAR,2015-04-27 19:24:07.540
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,steam borer?,Proclaim 5gm/15lit of Water.Spray,MAHARASHTRA,JALGAON,JAMNER,2015-04-28 11:14:03.533
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,weather forecast,partly cloudy and no possibility of  rain,MAHARASHTRA,AHMADNAGAR,NEVASA,2015-04-01 09:35:41.760
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,weather,Cloudy Weather NO possibility Rainfall.,MAHARASHTRA,AHMADNAGAR,KOPARGAON,2015-04-02 13:00:59.353
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,varieties- of cotton?,"Kanak, Rashi-II, NH-4, Mallika. Pratik-27, AJIT-155, AJIT-199",MAHARASHTRA,AHMADNAGAR,SANGAMNER,2015-04-05 15:52:09.380
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,fertilizer,200 Gram DAP + 600 Gram Magnesium Sulphate + Bavistin 20 Gram 10 Litre Water,MAHARASHTRA,AHMADNAGAR,NAGAR,2015-04-12 10:30:22.963
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of sucking pest?,Spray Actra 5 gm + regent 10 ml +  + redomilgold 30 gm /15 Lit of Water.,MAHARASHTRA,AHMADNAGAR,KOPARGAON,2015-04-24 18:05:54.883
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,aphids on cotton?,TATAMIDA 0.50  MILI/LITER FAVARAVE,MAHARASHTRA,AHMADNAGAR,KOPARGAON,2015-04-24 18:08:12.040
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of sucking pest on cotton ?,spray neem ark 30 ml / 15 liter of water for controlling sucking pest on cotton,MAHARASHTRA,AHMADNAGAR,NEVASA,2015-04-24 18:12:41.747
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,red leaf of cotton?,Spray mg sulphate 200 gm + zn sulphate 60 gm + urea 100 gm / 15 litre water,MAHARASHTRA,SATARA,KOREGAON,2015-04-18 15:09:45.443
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,disease attack-,Spray M-45 30 gm/15 Lit of Water.,MAHARASHTRA,SANGLI,JATH,2015-04-01 16:34:57.627
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of white grub ?,Use Fertera 4 kg /acre / Regent 4 kg / acre.,MAHARASHTRA,SANGLI,TASGAON,2015-04-02 14:12:25.213
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,wilt,Confidor 6ml/15 Lit of Water. +Spray Bavistine 30gm/15lit of Water.,MAHARASHTRA,SANGLI,MIRAJ,2015-04-09 13:07:46.457
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,fertilizer dose for cotton?,fertilizer dose for cotton- apply 10:26:26 30kg/acre,MAHARASHTRA,SANGLI,KAVATHEMAHANKAL,2015-04-15 15:53:19.400
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,thrips attack on cotton?,Confidor 7 ml + nim oil 1.5 ml /15 Lit of Water.,MAHARASHTRA,SANGLI,KADEGAON,2015-04-19 08:02:31.800
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of white fly?,Spray Actra 5 gm + /15 Lit of Water.,MAHARASHTRA,SANGLI,JATH,2015-04-19 14:14:21.023
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,cotton spraying ?,19:19:19 + Microla Drenching and Spraying of  M-45 30 Gram / 15 liter of Water,MAHARASHTRA,SANGLI,KAVATHEMAHANKAL,2015-04-22 17:21:11.980
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,cotton sucking pest?,Spray Actra 5 gm  +   Spary bavistin 30gm/15 Lit of Water .,MAHARASHTRA,SANGLI,JATH,2015-04-24 07:37:23.380
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,thrips attack ?,Spray Actra 5 gm/15 Lit of Water.,MAHARASHTRA,SOLAPUR,KARMALA,2015-04-01 18:44:41.663
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,disease attack- blight attack?,Spray M-45 30 gm./15 Lit of Water.,MAHARASHTRA,SOLAPUR,MADHA,2015-04-04 15:32:03.670
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,fertilizer,Spray 00-52-34 30gm/15lit of water..,MAHARASHTRA,SOLAPUR,AKKALKOT,2015-04-09 12:20:36.493
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,pest,Spray Bavistin 30gm  /15lit of Water,MAHARASHTRA,SOLAPUR,MOHOL,2015-04-20 11:24:05.577
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,•how to control blight on   ?,•FOR CONTROL OF BLIGHT ON ... SPRAY OF M 45 30 GM / BLUE COPPER 30 GM / FOLICUR 8 ML/ SCORE 8 ML/ KAVACH 15 GM/ HEDLINE 25 GM PER PUMP,MAHARASHTRA,AURANGABAD,KHULTABAD,2015-04-02 16:03:31.353
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,cotton varieties,"cotton varieties COTTON-Kanak, Rashi-II, NH-4, Mallika. Pratik-27, AJIT-155, AJIT-177",MAHARASHTRA,AURANGABAD,SOEGAON,2015-04-06 14:34:03.523
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of shoot borer?,Spray Chloropyriphos 30ml/15 Lit of Water.,MAHARASHTRA,JALNA,JALNA,2015-04-03 17:19:33.270
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,nag ali attack?,Polytrin c -35 15ml/15 Lit of Water,MAHARASHTRA,JALNA,BHOKARDAN,2015-04-05 17:55:38.567
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack red mites ?,Spray Record 10 gm or Pride 10 gm / 15 lit of water,MAHARASHTRA,JALNA,MANTHA,2015-04-15 16:23:51.507
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,varieties of cotton ?,"COTTON- Kanak, Rashi-II, NH-4, Mallika. Pratik-27, AJIT-155, AJIT-199, Jackpot.",MAHARASHTRA,JALNA,JALNA,2015-04-23 17:42:58.720
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,varieties  cotton,"VARIETIES  COTTON- Kanak, Rashi-II, NH-4, Mallika. Pratik-27, AJIT-155, AJIT-199, Jackpot.",MAHARASHTRA,JALNA,PARTUR,2015-04-27 13:07:43.483
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,wilt on cotton,Spray Tilt / score / kavach 30gm/15lit of Water.,MAHARASHTRA,PARBHANI,SAILU,2015-04-09 08:26:38.597
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,flower drop?,Spray Boom flower 25ml/15lit of Water.,MAHARASHTRA,PARBHANI,PATHRI,2015-04-14 07:14:10.207
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,open plot herbicide---,OPEN PLOT HERBICIDE--- ROUNDUP/MEERA-71,MAHARASHTRA,PARBHANI,PATHRI,2015-04-21 08:36:18.950
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,varieties= of cotton ?,"COTTON- Kanak, Rashi-II, NH-4, Mallika. Pratik-27, AJIT-155, AJIT-199, Jackpot.",MAHARASHTRA,PARBHANI,MANWAT,2015-04-24 14:56:45.297
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,cotton seed varieties ?,Pratik Cotton varities of Krishdan Seed,MAHARASHTRA,PARBHANI,PALAM,2015-04-26 16:24:37.867
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about sms activation ?,Your SMS scheme is activated on your mobile number,MAHARASHTRA,PARBHANI,PATHRI,2015-04-28 16:19:49.863
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,thrips,Spray Actra 5 gm/15 Lit of Water.,MAHARASHTRA,PARBHANI,PALAM,2015-04-30 09:44:50.157
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,weedicde?,spray pendimethline 2.5 lit. /1000 lit. water,MAHARASHTRA,BEED,DHARUR,2015-04-03 11:09:10.263
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,cotton disease?,Red leaf of cotton-magneshium salfet 70 gm+ uriya 100 gm +2 % DAP 100 mili +bavistin 30 gm/15 li water,MAHARASHTRA,BEED,GEORAI,2015-04-12 10:08:53.257
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about fertilizer dose of cotton,use 25 kilo uea 150 kilo ssp + 25kilo potash,MAHARASHTRA,BEED,GEORAI,2015-04-21 11:07:54.607
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,thrips attack?,Spray Actra 5 gm. /15 Lit of Water,MAHARASHTRA,BEED,PATODA,2015-04-22 15:16:12.957
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,bifenthurin 10% wp?,bifenthurin 1 ml/liter favarave,MAHARASHTRA,BEED,GEORAI,2016-04-22 17:26:28.263
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of sucking pest ?,use 19.19.19 60 gram  taba 25 mili + carbandyzin 30 gram,MAHARASHTRA,NANDED,HADGAON,2015-04-04 21:09:09.727
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,farmer has requested to start sms service on his mobile,The registration is completed on his mobile,MAHARASHTRA,NANDED,KANDHAR,2015-04-15 12:27:29.540
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,varieties of cotton  ?,"Kanak, Rashi-II, NH-4, Mallika. Pratik-27, AJIT-155, AJIT-199",MAHARASHTRA,NANDED,MODKHED,2015-04-17 16:51:53.833
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,stem borer attack?,Spray Nuwan 20ml/15Lit of Water.,MAHARASHTRA,NANDED,HIMAYATNAGAR,2015-04-24 20:17:03.750
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about weather forecast?,"clear weather, no possibility of rain.",MAHARASHTRA,OSMANABAD,TULJAPUR,2015-04-01 16:07:43.903
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of sucking pest?,Spray Ullala 8 gm/15 Lit of Water.,MAHARASHTRA,BULDANA,MOTALA,2015-04-01 16:13:38.800
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,varieties of cotton?,"varieties of cotton-Kanak, Rashi-II, NH-4, Mallika. Pratik-27, AJIT-155, AJIT-199",MAHARASHTRA,BULDANA,SHEGAON,2015-04-11 10:47:52.200
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,fruit fly,Spray Karate10ml/15 Lit of Water.,MAHARASHTRA,BULDANA,CHIKHLI,2015-04-14 12:08:36.350
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,caterpillar attack?,spray of proclaim  5 gm /15 Lit of Water.,MAHARASHTRA,BULDANA,JALGAONJAMOD,2015-04-14 19:32:02.717
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of sucking pest on cotton crop?,Spray Pegasus 25 gm/ 15 lit of water,MAHARASHTRA,BULDANA,SHEGAON,2015-04-17 09:11:17.003
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,herbicide spary cotton ?,spary hitwid,MAHARASHTRA,BULDANA,KHAMGAON,2015-04-17 13:17:56.427
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about market cotton,-4-2015 HYBRID GEVRAI  QUINTAL 661 3600 3800 3700 10-4-2015 ---- VADVANI QUINTAL 158 3800 3900 3850  LOCAL DEULGAON RAJA  QUINTAL 300 4300 4800 4500  LOCAL KATOL  QUINTAL 470 4000 4300 4200,MAHARASHTRA,AKOLA,BALAPUR,2015-04-11 11:30:39.940
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,weather forecast,Partly cloudy Not possibility of Rainfall,MAHARASHTRA,AKOLA,PATUR,2015-04-23 20:59:27.577
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asking about weather forecasting?,Cloudy weather not possibility of rain.,MAHARASHTRA,AKOLA,BALAPUR,2015-04-28 20:16:13.863
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of aphids,Spray super confidor 10 ml /15 liter of water(Imida 17.8 sl)-Bayer,MAHARASHTRA,AKOLA,AKOT,2016-04-07 21:08:00.290
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,caterpillar attack-,Spray Chloropyriphos 30ml/15 Lit of Water.,MAHARASHTRA,AMRAVATI,AMRAVATI,2015-04-01 18:32:28.310
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,market rate of cotton ?,25-4-2015HYBRIDGEVRAIQUINTAL48636003800370024-4-2015----KINWATQUINTAL20340036003500,MAHARASHTRA,AMRAVATI,DHARNI,2015-04-25 16:33:08.433
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,cotton harvesting machine,info given,MAHARASHTRA,AMRAVATI,DARYAPUR,2015-04-29 15:16:19.120
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,flower drop in cotton,flower drop in cotton  = planofix 5 ml /15 liter water spray,MAHARASHTRA,AMRAVATI,WARUD,2016-04-04 13:22:44.983
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,varieties f cotton,"COTTON- Kanak, Rashi-II, NH-4, Mallika. Pratik-27, AJIT-155, AJIT-199, Jackpot.",MAHARASHTRA,YEVATMAL,KALAMB,2015-04-14 17:23:24.550
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,askedabout market rate of cotton,5-4-2015HYBRIDGEVRAIQUINTAL47836003700367513-4-2015LOCALKATOLQUINTAL52410044254250HYBRIDGEVRAIQUINTAL1471360038003700MEDIUM STAPLEJAMNERQUINTAL837503850380,MAHARASHTRA,YEVATMAL,YAVATMAL,2015-04-15 12:23:05.377
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,weather forecast information?,Partly Cloudy  Possibility of High to Medium Rainfall,MAHARASHTRA,YEVATMAL,ARNI,2015-04-25 16:28:55.013
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,varieties- cotton,"COTTON- Kanak, Rashi-II, NH-4, Mallika. Pratik-27, AJIT-155, AJIT-199, Jackpot.",MAHARASHTRA,YEVATMAL,PUSAD,2015-04-28 14:20:03.787
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,varieties of cotton,"Kanak, Rashi-II, NH-4, Mallika. Pratik-27, AJIT-155, AJIT-199",MAHARASHTRA,YEVATMAL,MAHAGAON,2015-04-30 10:16:43.960
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asking about reddeing of cotton?,SPRAY MGSO4 60 GM + UREA 100 GM + SSP 300 GM / 15 LIT OF WATER,MAHARASHTRA,WARDHA,ARVI,2015-04-07 17:53:14.967
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,varietries of cotton,"VARIETIES soyabean- JS-335, JS 9305",MAHARASHTRA,WARDHA,HINGANGHAT,2015-04-21 08:10:44.783
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,disease attack - blight?,drenchig  Redomil Gold 30gm/15Lit of Water.,MAHARASHTRA,WARDHA,KARANJA,2015-04-26 16:20:28.167
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about market rate,0-4-2015----HINGOLIQUINTAL130410044214260LOCALKATOLQUINTAL280400043004150HYBRIDGEVRAIQUINTAL782360038003750MEDIUM STAPLEVARORAQUINTAL730390040803990,MAHARASHTRA,NAGPUR,KATOL,2015-04-20 19:05:55.350
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,blight attack?,Spray M-45 30 gm19 19 19 60 gm + microlla 30 ml 0/15 Lit of Water.,MAHARASHTRA,NAGPUR,PARSEONI,2016-04-13 09:23:52.907
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,ask about market rate ?,DateVarietyAPMCUnitQuantityLrateHrateModel11-4-2015HYBRIDGEVRAIQUINTAL66136003800370010-4-2015----VADVANIQUINTAL158380039003850LOCALUMAREDQUINTAL183430046404470LOCALDEULGAON RAJAQUINTAL300430048004500LOCALKATOLQUINTAL470400043004200HYBRIDGEVRAIQUINTAL1409360039003750L.R.A. - MEDIUM STAPLEDHAMANGAON-RLYQUINTAL300420044004300,MAHARASHTRA,HINGOLI,AUNDHA  NAGNATH,2015-04-11 15:16:58.217
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack [pest,Spray Coragen / 15 lit of water,MAHARASHTRA,HINGOLI,BASMAT,2015-04-13 07:52:32.260
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,fungal attack on cotton ?,Spray Bavistane 30 gm/15 Liter of Water (Carbandazin)-Basf,MAHARASHTRA,HINGOLI,AUNDHA  NAGNATH,2016-04-11 09:13:42.470
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack  stem borer?,Spray Quinalphos (25 % EC)15 ml/ l5 liter of water,MAHARASHTRA,GONDIYA,GOREGAON,2016-04-23 19:12:09.050
JAYAD,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of weevils on cotton,weevils on cotton - spray nuvan 30 ml / 15lit  water.,MAHARASHTRA,MUMBAI,MUMBAI,2016-04-13 11:45:36.080
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,sucking pest attack ?,Spray Actra 5 gm/15 Liter of Water (Thiomithoxom 25%)-Syngenta,MAHARASHTRA,THANE,MOKHADA,2016-08-14 08:12:52.930
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,sucking pest on cotton,sucking pest on cotton = spray lansargold 25 gm + m -45 37.5 gm / 15 lit water,MAHARASHTRA,NASIK,YEOLA,2015-08-04 11:01:42.127
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,flower drop,Spray Planofix 5ml/15 Lit of Water,MAHARASHTRA,NASIK,SINNAR,2015-08-05 10:52:35.910
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,thrips on cotton?,thrips on cotton?Spray Bavistine 30gm+Rogar 15ml/15 Lit of Water.,MAHARASHTRA,NASIK,CHANDWAD,2015-08-05 15:31:31.103
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asking about weather information?,Cloudy Weather NO possibility Rainfall.,MAHARASHTRA,NASIK,CHANDWAD,2015-08-05 15:59:39.970
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,root rot in cotton ?,drainching of  Redomil Gold 30gm + humic acid 30 ml /15Lit of Water .,MAHARASHTRA,NASIK,YEOLA,2015-08-05 17:39:06.117
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,spray for cotton?,spray for cotton- spray lancer gold 2m/ lit of water,MAHARASHTRA,NASIK,NANDGAON,2015-08-06 12:29:59.093
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about caterpillar attack?,Spray Monoseal 40ml/ Pump.,MAHARASHTRA,NASIK,YEOLA,2015-08-07 12:03:15.487
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,weedicide in cotton crop?,apply tergasuper 40 gram in 15 lit of water befor flowering stage,MAHARASHTRA,NASIK,NANDGAON,2015-08-09 11:43:43.560
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asked about tonic for spray in cotton,spray josh tonic 40 mili/ 15 liter of water,MAHARASHTRA,NASIK,MALEGAON,2015-08-11 18:02:27.503
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,reddining of cotton?,spray urea 100 kg+ magnesium sulphate 60 gm/15 liter water,MAHARASHTRA,NASIK,BAGLAN,2015-08-12 09:55:39.210
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,"asked about sucking pest attack, white fly in cotton",Spray Confidor super / Confidor 10ml/15 Lit of Water.,MAHARASHTRA,NASIK,YEOLA,2015-08-12 18:46:03.517
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,rednning of cotton?,SPRAY MAGNESIUM SULPHATE 60 GM + BAVISTINE 30 GM  + DAP 200 GM/15 LITER WATER  WITH MAGNESIUM SULPHATE 10 KG/ACRE,MAHARASHTRA,NASIK,MALEGAON,2015-08-14 10:37:57.893
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,millybug on cotton,MILLYBUG ON COTTON  - NEAON 20 ML /15 LITER WATER SPRAY,MAHARASHTRA,NASIK,NANDGAON,2015-08-14 14:40:50.033
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,asking about weather forecasting?,"Cloudy weather,  Possiblility of  Rain.",MAHARASHTRA,NASIK,CHANDWAD,2015-08-14 20:57:38.723
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack of sucking pest aphids attack ?,Spray Actra 5 gm + Ridomil gold 30 gm/15 liter water?,MAHARASHTRA,NASIK,YEOLA,2015-08-15 08:14:41.530
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,blight attack on cotton?,blight attack on cotton-Spray Bavistine 30gm/15lit of Water.,MAHARASHTRA,NASIK,DEOLA,2015-08-16 09:55:52.250
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,rednning on cotton,REDNNING ON COTTON  - MAGNESIUM SULFATE 60 GM +_ 18:46 100 GM /15 LITER WATER SPRAY,MAHARASHTRA,NASIK,BAGLAN,2015-08-16 14:42:18.280
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,thrips on cotton,THRIPS ON COTTON  - REJENT 22 GM /15 LITER WATER SPRAY,MAHARASHTRA,NASIK,BAGLAN,2015-08-16 14:43:52.533
RABI,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,dropping of cotton flower?,?????? ????? 5 ????  15 ???? ??????? ?????? ?????,MAHARASHTRA,NASIK,MALEGAON,2015-08-18 10:46:47.720
KHARIF,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Plant Protection	,attack red mites on cotton?,Spray Oberon 15ml / omite 5ml/15Lit of Water.,MAHARASHTRA,NASIK,YEOLA,2015-08-18 15:27:34.010
