Ouery_Cleaned,Answer
spray growth wheat,13:00:45 75 GM + MICROLLA 30 ML /15 LITER WATER AND MAGNESIUM SULPHATE 10 KG/ACRE
catterpilar wheat,Spray Proclaim10 gm +Bavistane 30 gm/15 liter of Water(Emamectin Benzoate)Syngenta
fertilizer use wheat,spray 200 gm yuriya / 10 liter of water
reddning wheat,SPRAY MICROLA 30 ML + Bavistine 30gm/15liter of Water
weat,spray menkozeb 1.5 kilo / 500 liter
record,"Partly cloudy,  not  possibility with light  rain."
varieties wheat,"varieties of wheat - tryambak, godawari, ajit, mahico pratham"
seed treatment wheat,dust bavistin 250 gram/20 kg seed.
askin caterpillar wheat,Chloropyriphos 30ml + Humic Acid 30ml/15 Liter of Water Drenching.
weedicide wheat,2-4 - d 70 gm /15 lit
wheat seed,WHEAT-20 KG/ACRE
root rot wheat,SPRAY MICROLA 30 ML+BAVISTIN 30 GM /15 LITER WATER
soil helth card,FOR MORE INFORMATION PLEASE VISIT SOIL TESTING LAB AND YOUR T.A.O
varieties whaet,"VARIETIES OF WHEAT-SAKOLI 6,SINDHEVAHI 1,SINDHEVAHI 75,P KV GANESH,SINDHEVAHI 4,NIRBHAI,AJAY,VINAY,HD 2380,HD 2189,MACS 2846,TRIMBAK,PANCHAVATI,AJIT 102"
leaf blight,SPRAY M 45 30 GM /15 LITER WATER(mancozeb)Dow Agro
aske dfor downy wheat,Spray Redomil Gold 30 GM /15 LITER WATER(Metalaxl-M)-Syngenta
weed wheatq,spray pendamithiline 30 EC 70ml/ 10 liter of water
trips wheat,Spray Rogar 15ml/15 Lit of Water.
contact animal husbandary department,CONTACT NO OF ANIMAL HUSBANDARY DEPARTMENT = 1800 233 0418
fungicide wheat,FUNGICIDE FOR WHEAT -THIRUM @ 4 GM/KG OF SEED
reddening wheat,Spray Bavistane 30 gm/15 Liter of Water(Carbandazin)-Basf
sucking pest blight wheat,for control of sucking pest and blight on wheat  SPRAY Actra 5 gm +  M 45 30 GM /15 LITER WATER(mancozeb)Dow Agro
alternaria leaf blight wheat,for control of alternaria leaf blight on wheat  -Spray  13: 40 : 13 - 60 gram + microlla - 30 ml  + antracol - 25 GM /15 LITER WATER(Metalaxl-M)-Syngenta
wheat market rate,wheat-
varities wheat,"VARITIES OF WHEAT -NETRAVATI, ABHAY, NIRBHAY, HD-2189,MACS-2496,GODAVARI ,Lok-1,SHARAD,SAMADHAN"
weed side,use allgrip 30 ml per 15 liter water
sowing time wheat,sowing time of wheat=octomber November december
forecasting,Cloudy weather not possibility of rain.
wheat seed treatment,WHEAT SEED TREATMENT=- THIRAM 3 GRAM + BAVISTIN 3 GRAM / KG FOR SEED TREATMENT ..
variety,"Variety- Tryambak, Tapovan"
varieties,use trybak varietiesof whet
market price,give number : 1800 102 8767 for market rate
fungus problem,suggest:mancozeb 30 gm per pamp and to sprey
dusting pests insects,Suggested: Methyl Parathion 2% dusting 5 kg/vigha
general,Suggested: All information provided - Thanks for calling in kisaan call center
yellowing fertilizer dose,Suggested: 19-19-19 fertilizer 100 gm/pump spray
termite white grub,Suggested: Chlorpyrifos 20 EC 30 ml/pump drenching or 250 ml/vigha water treatment
sowing time,15 Nov. - 10 Dec.
gernal,all information provided - thanks for calling in kisan call centre
termite problem,Suggested: Chlorpyrifos 20 EC 30 ml/pump drenching or 250 ml/vigha water treatment
termite,Suggested: Fipronil 5 SC 25ml/pump spray [Final Control]
fertilizer wheat,suggest:to give urea
yellowish,SUGGESTED FOR THE FERRUSE SULPHATE 50 GRAM PER PUMP
larvae,Suggested: Quinalphos 25 EC 30 ml/pump spray
wilt problem,Suggested: Carbendazim (Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatment
white fly,Suggested: Acetamiprid 20 SP (Pride/Ekka) 5 gram/pump spray
yellowing problem wheat wilt garlic,Suggested: Urea 100 gram/pump spraySuggested: Carbendazim (Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatment
fertilizer,SUGGESTED NEED FOR THE CROP
reaction pesticides weedicides,Suggested: Urea 100 gram/pump spray
leaf minor problem,Suggested: Emamectin benzoate 5 SC 8 gm/pump spray [Very costly]
sucking pest black gram sowing time,"?????????? 40% EC 30 ???? / ??? ?????? ???? [???? ??? ???? ?? ?????]June-July, Feb-March"
kisan call center registration,Your Registration has been done in kisan call center
irrigation,suggested for need to the crop
variety sowing time,"WheatGW-496, Lok-1, Sonalika, GW-273, 17315 november to 10 december"
fertilizetr dose,Suggested: Urea (46-00-00) 8-10 kg/ha as top dressing application
pesticide use,Suggested: Don't use pesticides withou any disease or insects
yellow colour leaves,SUGGESTED FOR THE FESO4 50 GRAM PER PUMP
agriculture insurance,1800-103-0061
bacterial blight,Suggested: Metalaxyl 8% + Mancozeb 64% w.p. (Redomil MZ / Master) 35 gram/pump drenchingh or 250 gram/vigha water treatment OR  CoperOxichloride (Blue copper) 50% W.G. 40 gram/pump drenching OR 250 gram/vigha water treatment
sucking pest rajko,I suggested to spray dimethoat 15 ml/pump for sucking pest in rajko
wheatcrop,"GW-496, Lok-1, Sonalika, GW-273, 17315 Nov. - 10 Dec.100-125 kg/ha"
bout tobacco white fly,Suggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]
mixing different pesticides fungicides,Suggested: Do not mix different pesticides in a single pump. Spray it seprately with a proper time gap.
heliothese pink ball warm,Suggested: Install 2 pharomon trap / vigha and spray DDVP 5 ml + cypermethrin  25 ml /pump at flowering stage
wheat papaya,Suggested: All information provided - Thanks for calling in kisaan call center
termite seed treatment,Suggested: Chlorpyrifos 20% e.c. 25 ml/10 kg seeds [ for termite and white grub protection ]
forirrigation,I suggested to give last irrigation at milking stage
larva,cypermethrin 10 ml. per pump and to spray.
larva problems wheat crops,Suggested: DDVP 5 ml + Cypermethrin 15 ml / pump spray
yellow colour,SUGGESTED FOR THE SPREY MICRO MIXER
growth,suggest:no giva any chemiacles for growth
wheat suckingpest problem,I suggested imedachloprid 8ml/pump sprey
mite,Suggested: Dicofol 18.5 EC 25 ml/pump spray
white grub,Suggested: Chlorpyrifos 50% + Cypermethrin 5% (Mix availabe in market) 250 ml/vigha water treatment
sucking pests problem suggested,Dimethoate (Rogar) 30% E.C. 20 ml/pump spray [Suitable for young crops]
larva problem iyal,suggest:ddvp 0.056 % 5 ml/ 10 lit.  water
fertilize dose,Suggested: Urea (46-00-00) 8-10 kg/ha as top dressing application
wheat weed,I suggested to hand weeding
sucking pests problem suggested imidacloprid l ml pump spray sl sucking pests problem,Suggested: Imidacloprid 17.8% s.l. 5 ml/pump  spray
fungas problem,Suggested: Mancozeb (M-45) 75% W.P. 35 gram/pump spray
grahak suraksha complain number,Call: 1800-233-0222 for grahak suraksha complains
termite problem root,Suggested: Chlorpyrifos 20 EC 30 ml/pump drenching or 250 ml/vigha water treatment
termit,Suggested: Chlorpyrifos 20% e.c. 25 ml/10 kg seeds [ for termite and white grub protection
larva problem,suggest:cypermethrin 10 ml. per pump and to spray.
power tiller subcidies,for 40 % or 45000 subcidies
marke rate,suggested 18001028767
larval termite problem,Suggested: DDVP 5 ml + Quinalphos 25 ml /pump spraySuggested: Chlorpyrifos 20 EC 30 ml/pump drenching or 250 ml/vigha water treatment
wheat yallow colour,I suggested wheat irrigation applay
abt termite wheat,Chlorpyriphos 4 liter/hacter
wheat yellowing leaf,I suggested to sprey urea 100 gm/pump
wilt dieseas,mancozeb 35 gram per pump and to spray.
larval problem,Suggested: DDVP 5 ml + Quinalphos 25 ml /pump spray
aboaut fungus problem root,Suggested: Carbendazim (Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatment
larva wheat,I suggested to spray quinalphos 20 ml/pump for control larva in wheat
fungus problem root,Suggested: Carbendazim (Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatment
wheat rust,I suggested to sprey contaf 15 ml/pump
stem borer wheat,I suggested spray cloropayriphosh 30 mili / 15 liter
market rate,call on 1800 102 8767 for market price
abt weed problems,not use weedicide.
yellowing leaf,I suggested to spray urea 100 gm/pump
yellow leaf wheat,suggest:contect to anand agriculture college ???:
atama project,suggested 07923245287
wheat fertilizer dose,sugg to yuriya 100 gram /pamp spre
wheat larva,quinalphos 30 ml.per pump and to spray.
wheat termite,I suggested to give cloropyriphos 2.5 lit/ha
fungus problem cropask reaction pesticides weedicides,suggest:mancozeb 75%w.p. 35 gm/pumpSuggested: Urea 100 gram/pump spray
irrigatiom,suggest: at 95 days
wheat root wilt,I suggested to give coc 2.5 kg/ha
govt schme,rotavator subcidi.  50 % or 30000 which is less get by subcidi.
sucking pest problem,Suggested: Dimethoate (Rogar) 30% E.C. 20 ml/pump spray [Suitable for young crops]
yellowing problem,Suggested: Urea 100 gram/pump spray
bout fertilizer,SUGGESTED FOR THE  UREA FERTILIZER
soil testing,suggested :-soil testing
fungus wheat,I suggested spray mencozeb 35 gram / 15 liter
wheat crops,Suggested: Carbendazim (Bavistin) 50% W.P. 20 gram/pump spray
abt fertilizer wheat,15kg urea/vigha to apply
yellow colour leavese,SUGGESTED FOR THE ZINC SULPHATE
wheat leaf burn problem,I suggested to spray mancozeb 35 gram/pump.
fertlizer application,15kg urea/vigha to apply
wheat sucking pest,I suggested to spray diemithoat 15 ml/pump
weed fungus problem root,"Suggested: 2,4-D 25ml / pump spraySuggest:carbendenzim 50% w.p 30 gm/pump drenching  OR 250 gram/vigha water treatment"
wilt sucking pest problem,Suggested: Carbendazim (Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatmentSuggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]
abt wheat fertilizer,15kg urea/vigha to apply
seed treatment,suggest:captan 3 gm/1 kg seed
wheat caterpillar,I suggested to spray quinalphos 20 ml/pump
fro rate,I suggested to apply zinc phosphide tablet
red mite infestation,suggest:ethiyon 15 ml/pump sprey
increase flower initiation,Suggested: Boom Flower (Nitrobenzene) 15 ml/pump spray
organic farming,suggest:contect to anand agriculture college
ret wheat,I suggested to zinc phosphide 2 % for control  ret in wheat
larva problem wheat,suggest: quinalphose 30 ml per pump and to sprey
wheat aphide problem,I suggested to spray rogar 20 ml./pump.
rat problem wheat,i suggested apply rodenticide
abt market prize,call to 1800 102 8767
weedside,suggested hand weeding
wheat rat,I suggest zinc phoshphaide
abt yelllowish leaves,SUGGESTED APPLY UREA 100 GM/PUMP SPRAY.
wheat wilt,suggest:mancozeb (Dithen- M) 30 gm per pamp and to sprey
wheat tarmite,Chlorpyriphos 1 liter /vigha
wheat heliothis problem,I suggested to spray quinalphos 30 ml./pump.
wheat fungus problem,I suggested to spray mancozeb 35 gram/pump.
wheat weediside,"sugg to 2,4-d 20 gram/pamp spre"
rat problem,I suggested to Zink phosphide
fertilizer gnut,suggested amoniumsulphet 10 kg per vigha
tomato,I suggested boron 20ml in 1 pump
wheat problem rain,i suggested to spray mencozeb 40 gram/pump.
yellow wish wheat,Suggested: 100 gm hirakashi powder (FeSo4)  / pump spray
termite nematod white grub larvae,Suggested: Chlorpyrifos 20 EC 30 ml/pump drenching or 250 ml/vigha water treatmentSuggested: Quinalphos 25 EC 30 ml/pump spray
duration,95 - 110 days
seed treatments wheat,Suggested: Chlorpyrifos 20% e.c. 25 ml/10 kg seeds [ for termite and white grub protection ]?????????????? 20 % E.C.
mite redmite ant,Suggested: Dicofol 18.5 EC 25 ml/pump spray
wheat intercropping,WHEAT
termite nematod white grub fungus problem root,Suggested: Phorate 10 G 2 kg/vigha Suggested: Carbendazim (Bavistin) 50% W.P. 30 gram/pump drenching OR 250 gram/vigha water treatment?????
weed mangement,I suggest to spry pendimethelin
termites wheat,I suggested to give chloropyriphos 4 lit /ha with irrigation for  termites in wheat
wheat package practices,"as per uses for azotobactor to seed treatment, irrigation"
sucking pests problem white fly,Suggested: Dimethoate (Rogar) 30% E.C. 20 ml/pump spray [Suitable for young crops]Suggested: Triazophos 40 EC 30 ml/pump spray [ suitable for young crop ]
variety wheat,"SUGGST:TO GW-496, Lok-1, Sonalika, GW-273, 173"
aboutt variety,"GW-496, Lok-1, Sonalika, GW-273, 173"
anand agri uni contact number,Ask for Anand Agri Uni Contact numberCall: 02692-261108 (ATIC) for campus visit & information
varietyask sowing time,"suggest:GW-496, Lok-1, Sonalika, GW-273, 17315 Nov. - 10 Dec.100-125 kg/ha22 cm b/w row95 - 110 days4000-5000 /ha"
